,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
2361,HMGCR,1,1,57,1.8%,"No
"
2362,HMGCL,1,1,57,1.8%,"No
"
2363,AP4E1,2,1,57,1.8%,"No
"
2364,OR11H12,1,1,57,1.8%,"No
"
2365,ATP7B,1,1,57,1.8%,"No
"
2366,LRPPRC,2,1,57,1.8%,"No
"
2367,FAM193B,1,1,57,1.8%,"No
"
2368,CATSPERB,2,1,57,1.8%,"No
"
2369,ATR,3,1,57,1.8%,"Yes
"
2370,ATRX,4,2,57,3.5%,"Yes
"
2371,KIF1A,3,2,57,3.5%,"No
"
2372,SOCS2,1,1,57,1.8%,"Yes
"
2373,SDK2,3,2,57,3.5%,"No
"
2374,ACTR1B,1,1,57,1.8%,"No
"
2375,RNF32,3,2,57,3.5%,"No
"
2376,GMPS,2,1,57,1.8%,"Yes
"
2377,XK,1,1,57,1.8%,"No
"
2378,RASGRP1,1,1,57,1.8%,"No
"
2379,ARL4A,1,1,57,1.8%,"No
"
2380,CFLAR,1,1,57,1.8%,"No
"
2381,DICER1,2,2,57,3.5%,"Yes
"
2382,KAT2B,1,1,57,1.8%,"No
"
2383,ITIH6,1,1,57,1.8%,"No
"
2384,ZNF286B,1,1,57,1.8%,"No
"
2385,SPATS1,1,1,57,1.8%,"No
"
2386,OR8A1,1,1,57,1.8%,"No
"
2387,AKAP4,2,2,57,3.5%,"No
"
2388,TDRD6,2,1,57,1.8%,"No
"
2389,NR4A1,1,1,57,1.8%,"No
"
2390,ATP13A2,1,1,57,1.8%,"No
"
2391,HMMR,2,1,57,1.8%,"No
"
2392,MAGEL2,2,2,57,3.5%,"No
"
2393,HMGCS2,1,1,57,1.8%,"No
"
2394,LMO3,1,1,57,1.8%,"No
"
2395,WDR88,1,1,57,1.8%,"No
"
2396,WSB2,1,1,57,1.8%,"No
"
2397,AXL,1,1,57,1.8%,"Yes
"
2398,XPO1,1,1,57,1.8%,"Yes
"
2399,XRCC2,1,1,57,1.8%,"Yes
"
2400,SPIN2B,1,1,57,1.8%,"No
"
2401,XRCC1,1,1,57,1.8%,"No
"
2402,SGTB,1,1,57,1.8%,"No
"
2403,ZKSCAN7,1,1,57,1.8%,"No
"
2404,TSC22D1,2,2,57,3.5%,"No
"
2405,FOXA2,3,3,57,5.3%,"No
"
2406,CRB1,3,2,57,3.5%,"No
"
2407,RPS7,1,1,57,1.8%,"No
"
2408,PER2,1,1,57,1.8%,"No
"
2409,PCDH15,5,2,57,3.5%,"No
"
2410,GPRASP3,1,1,57,1.8%,"No
"
2411,SIRT1,1,1,57,1.8%,"No
"
2412,ZFP91,1,1,57,1.8%,"No
"
2413,ZFPM2,3,3,57,5.3%,"No
"
2414,AZGP1,1,1,57,1.8%,"No
"
2415,ZBTB3,1,1,57,1.8%,"No
"
2416,GPAT2,1,1,57,1.8%,"No
"
2417,YES1,1,1,57,1.8%,"Yes
"
2418,FCGBP,3,3,57,5.3%,"No
"
2419,PROZ,1,1,57,1.8%,"No
"
2420,CFAP69,2,1,57,1.8%,"No
"
2421,PDZD3,1,1,57,1.8%,"No
"
2422,CSPP1,1,1,57,1.8%,"No
"
2423,TSFM,1,1,57,1.8%,"No
"
2424,HNRNPA2B1,1,1,57,1.8%,"Yes
"
2425,ZNF81,2,1,57,1.8%,"No
"
2426,ZBTB14,1,1,57,1.8%,"No
"
2427,IER3,1,1,57,1.8%,"No
"
2428,ZFX,2,2,57,3.5%,"No
"
2429,VNN2,1,1,57,1.8%,"No
"
2430,EML5,2,1,57,1.8%,"No
"
2431,LNPK,1,1,57,1.8%,"No
"
2432,HNRNPD,1,1,57,1.8%,"No
"
2433,HNRNPAB,1,1,57,1.8%,"No
"
2434,IL17REL,1,1,57,1.8%,"No
"
2435,USP36,1,1,57,1.8%,"No
"
2436,ADGRB1,1,1,57,1.8%,"No
"
2437,UGT1A6,1,1,57,1.8%,"No
"
2438,C10ORF90,1,1,57,1.8%,"No
"
2439,COL24A1,1,1,57,1.8%,"No
"
2440,ADGRB3,1,1,57,1.8%,"No
"
2441,UGT1A7,1,1,57,1.8%,"No
"
2442,PRRT1,1,1,57,1.8%,"No
"
2443,JCAD,1,1,57,1.8%,"No
"
2444,SYNJ1,2,1,57,1.8%,"No
"
2445,UGT1A5,1,1,57,1.8%,"No
"
2446,TRMT9B,1,1,57,1.8%,"No
"
2447,ZFP37,1,1,57,1.8%,"No
"
2448,PITPNM2,1,1,57,1.8%,"No
"
2449,SLAIN2,1,1,57,1.8%,"No
"
2450,EYS,2,2,57,3.5%,"No
"
2451,ZNF711,1,1,57,1.8%,"No
"
2452,CDC16,1,1,57,1.8%,"No
"
2453,ZNF10,1,1,57,1.8%,"No
"
2454,SLC5A6,1,1,57,1.8%,"No
"
2455,OR10G7,1,1,57,1.8%,"No
"
2456,PLEKHG7,3,1,57,1.8%,"No
"
2457,BARD1,1,1,57,1.8%,"Yes
"
2458,LZTFL1,2,2,57,3.5%,"No
"
2459,ISLR2,1,1,57,1.8%,"No
"
2460,TUBAL3,1,1,57,1.8%,"No
"
2461,GNB1L,1,1,57,1.8%,"No
"
2462,RBFA,2,1,57,1.8%,"No
"
2463,BCAT2,1,1,57,1.8%,"No
"
2464,TREML2,2,2,57,3.5%,"No
"
2465,JHY,1,1,57,1.8%,"No
"
2466,ZIC2,1,1,57,1.8%,"No
"
2467,ALG13,2,1,57,1.8%,"No
"
2468,SQSTM1,1,1,57,1.8%,"Yes
"
2469,TSHZ3,2,2,57,3.5%,"No
"
2470,VPS18,1,1,57,1.8%,"No
"
2471,UST,1,1,57,1.8%,"No
"
2472,RPS28,1,1,57,1.8%,"No
"
2473,MTMR2,1,1,57,1.8%,"No
"
2474,ZNF19,1,1,57,1.8%,"No
"
2475,ACTR3,1,1,57,1.8%,"No
"
2476,SPATA4,1,1,57,1.8%,"No
"
2477,OR4D9,1,1,57,1.8%,"No
"
2478,HS3ST6,1,1,57,1.8%,"No
"
2479,ZNF781,2,2,57,3.5%,"No
"
2480,BCHE,2,2,57,3.5%,"No
"
2481,BCKDHB,1,1,57,1.8%,"No
"
2482,COPS7B,1,1,57,1.8%,"No
"
2483,CCND1,1,1,57,1.8%,"Yes
"
2484,SSX7,2,2,57,3.5%,"No
"
2485,HVCN1,1,1,57,1.8%,"No
"
2486,BCL2L1,1,1,57,1.8%,"Yes
"
2487,OR52I2,1,1,57,1.8%,"No
"
2488,MCM3AP,3,2,57,3.5%,"No
"
2489,FAM124A,1,1,57,1.8%,"No
"
2490,RRM1,1,1,57,1.8%,"No
"
2491,PRAMEF10,1,1,57,1.8%,"No
"
2492,C4ORF50,1,1,57,1.8%,"No
"
2493,ZNF22,1,1,57,1.8%,"No
"
2494,MON1A,1,1,57,1.8%,"No
"
2495,ZNF20,3,1,57,1.8%,"No
"
2496,BIN2,1,1,57,1.8%,"No
"
2497,PRPF4B,1,1,57,1.8%,"No
"
2498,C7ORF50,1,1,57,1.8%,"No
"
2499,ZNF33B,1,1,57,1.8%,"No
"
2500,ZNF37A,2,2,57,3.5%,"No
"
2501,ZKSCAN1,1,1,57,1.8%,"No
"
2502,CRYBG3,1,1,57,1.8%,"No
"
2503,HUWE1,5,4,57,7.0%,"No
"
2504,MED13L,3,1,57,1.8%,"No
"
2505,ZNF33A,1,1,57,1.8%,"No
"
2506,ZNF780B,2,2,57,3.5%,"No
"
2507,AHCYL2,1,1,57,1.8%,"No
"
2508,HEPACAM2,1,1,57,1.8%,"No
"
2509,RSC1A1,1,1,57,1.8%,"No
"
2510,ATP9A,1,1,57,1.8%,"No
"
2511,ZNF107,1,1,57,1.8%,"No
"
2512,POLK,1,1,57,1.8%,"No
"
2513,RYR3,7,1,57,1.8%,"No
"
2514,ZNF43,2,1,57,1.8%,"No
"
2515,RYR2,10,4,57,7.0%,"No
"
2516,MZF1,1,1,57,1.8%,"No
"
2517,EVC2,1,1,57,1.8%,"No
"
2518,WDR13,1,1,57,1.8%,"No
"
2519,METTL17,1,1,57,1.8%,"No
"
2520,RYR1,1,1,57,1.8%,"No
"
