,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
17040,ASTE1,34,29,517,5.6%,"No
"
17041,FAM76B,17,16,517,3.1%,"No
"
17042,COMMD5,7,7,517,1.4%,"No
"
17043,TMEM31,18,18,517,3.5%,"No
"
17044,GAPDHS,37,32,517,6.2%,"No
"
17045,PIWIL4,55,36,517,7.0%,"No
"
17046,OR7A17,18,15,517,2.9%,"No
"
17047,MACROD1,3,3,517,0.6%,"No
"
17048,SESN3,42,35,517,6.8%,"Yes
"
17049,RASGEF1B,33,25,517,4.8%,"No
"
17050,PAGE2,10,8,517,1.5%,"No
"
17051,CCDC125,34,30,517,5.8%,"No
"
17052,SP9,4,3,517,0.6%,"No
"
17053,CNBD1,51,33,517,6.4%,"No
"
17054,OR5H1,27,22,517,4.3%,"No
"
17055,SPATA31A1,21,17,517,3.3%,"No
"
17056,ZDHHC20,17,17,517,3.3%,"No
"
17057,PSMC6,25,21,517,4.1%,"No
"
17058,PSMD1,47,31,517,6.0%,"No
"
17059,PSMD2,41,29,517,5.6%,"No
"
17060,PSMD3,29,21,517,4.1%,"No
"
17061,PSMC1,18,16,517,3.1%,"No
"
17062,PSMC2,21,18,517,3.5%,"No
"
17063,PSMC3,18,14,517,2.7%,"No
"
17064,PSMC4,35,31,517,6.0%,"No
"
17065,PSMC5,21,18,517,3.5%,"No
"
17066,ZNF605,8,6,517,1.2%,"No
"
17067,STMP1,1,1,517,0.2%,"No
"
17068,PSMD11,24,21,517,4.1%,"No
"
17069,PSMD12,25,22,517,4.3%,"No
"
17070,PSMD13,9,9,517,1.7%,"No
"
17071,PSMD4,19,16,517,3.1%,"No
"
17072,PSMD5,28,24,517,4.6%,"No
"
17073,PSMD7,17,16,517,3.1%,"No
"
17074,PSMD8,9,8,517,1.5%,"No
"
17075,PSMD9,10,8,517,1.5%,"No
"
17076,PSMD10,13,13,517,2.5%,"No
"
17077,PTGDS,10,9,517,1.7%,"No
"
17078,PTEN,602,337,517,65.2%,"Yes
"
17079,PTGDR,27,23,517,4.4%,"No
"
17080,PSME1,9,9,517,1.7%,"No
"
17081,MSRB3,10,10,517,1.9%,"No
"
17082,PSME2,12,12,517,2.3%,"No
"
17083,PSPH,9,7,517,1.4%,"No
"
17084,PTAFR,17,15,517,2.9%,"No
"
17085,PTBP1,22,20,517,3.9%,"No
"
17086,TAS2R38,21,20,517,3.9%,"No
"
17087,PTCH1,90,60,517,11.6%,"Yes
"
17088,KHDC3L,17,16,517,3.1%,"No
"
17089,PTGIS,22,16,517,3.1%,"No
"
17090,PTH,6,5,517,1.0%,"No
"
17091,PTGIR,3,3,517,0.6%,"No
"
17092,LINC01554,3,2,517,0.4%,"No
"
17093,PTGER2,14,12,517,2.3%,"No
"
17094,PTGER3,26,22,517,4.3%,"No
"
17095,PTGER4,30,24,517,4.6%,"No
"
17096,PTGFR,24,21,517,4.1%,"No
"
17097,PTGFRN,35,24,517,4.6%,"No
"
17098,PTGS1,22,19,517,3.7%,"No
"
17099,PTGS2,28,23,517,4.4%,"No
"
17100,PTHLH,13,12,517,2.3%,"No
"
17101,PTH1R,27,22,517,4.3%,"No
"
17102,PTH2R,30,23,517,4.4%,"No
"
17103,PTK2,55,37,517,7.2%,"No
"
17104,MYO1B,46,33,517,6.4%,"No
"
17105,PTMS,6,6,517,1.2%,"No
"
17106,HK3,44,32,517,6.2%,"No
"
17107,PTK6,16,14,517,2.7%,"Yes
"
17108,PTK7,45,30,517,5.8%,"Yes
"
17109,TWF1,33,25,517,4.8%,"No
"
17110,PTMA,8,7,517,1.4%,"No
"
17111,PTPN1,20,14,517,2.7%,"Yes
"
17112,MSI1,10,8,517,1.5%,"Yes
"
17113,PTPN2,13,13,517,2.5%,"Yes
"
17114,PTPN3,63,39,517,7.5%,"No
"
17115,HLA-DOB,9,8,517,1.5%,"No
"
17116,HLA-DOA,10,9,517,1.7%,"No
"
17117,MNX1,9,9,517,1.7%,"Yes
"
17118,HLA-DMB,10,7,517,1.4%,"No
"
17119,HLA-DMA,10,10,517,1.9%,"No
"
17120,HLA-C,7,7,517,1.4%,"Yes
"
17121,HLA-B,16,13,517,2.5%,"Yes
"
17122,HLA-A,13,12,517,2.3%,"Yes
"
17123,ZBTB48,18,16,517,3.1%,"No
"
17124,PTN,18,16,517,3.1%,"No
"
17125,CITED1,16,14,517,2.7%,"No
"
17126,MSH2,64,41,517,7.9%,"Yes
"
17127,MSH3,64,48,517,9.3%,"Yes
"
17128,QSOX1,32,28,517,5.4%,"No
"
17129,MSH4,100,47,517,9.1%,"No
"
17130,MSH5,47,36,517,7.0%,"No
"
17131,PTPN9,26,21,517,4.1%,"No
"
17132,CEP85,25,20,517,3.9%,"No
"
17133,PTPN11,34,28,517,5.4%,"Yes
"
17134,IFT22,7,7,517,1.4%,"No
"
17135,PTPN12,41,28,517,5.4%,"No
"
17136,RMND5A,19,18,517,3.5%,"No
"
17137,PTPN13,122,58,517,11.2%,"Yes
"
17138,DDX31,25,18,517,3.5%,"No
"
17139,PTPN14,78,48,517,9.3%,"No
"
17140,HLA-DRB1,4,3,517,0.6%,"No
"
17141,IQCH,56,38,517,7.4%,"No
"
17142,HLA-DRA,11,8,517,1.5%,"No
"
17143,DEPTOR,16,15,517,2.9%,"No
"
17144,HLA-DQB2,15,13,517,2.5%,"No
"
17145,VCX3A,3,3,517,0.6%,"No
"
17146,HLA-DQB1,1,1,517,0.2%,"No
"
17147,VCX2,4,4,517,0.8%,"No
"
17148,HLA-DQA2,3,3,517,0.6%,"No
"
17149,HLA-DQA1,9,9,517,1.7%,"No
"
17150,HLA-DPB1,3,3,517,0.6%,"No
"
17151,HLA-DPA1,10,10,517,1.9%,"No
"
17152,PTPN4,42,33,517,6.4%,"No
"
17153,PTPN6,26,21,517,4.1%,"Yes
"
17154,PTPN7,20,16,517,3.1%,"No
"
17155,PTPRCAP,6,6,517,1.2%,"No
"
17156,PTPRE,48,31,517,6.0%,"No
"
17157,PTPRF,96,49,517,9.5%,"No
"
17158,PTPRG,76,50,517,9.7%,"No
"
17159,PTPRH,64,41,517,7.9%,"No
"
17160,PTPRJ,70,43,517,8.3%,"No
"
17161,PTPRK,78,51,517,9.9%,"Yes
"
17162,HLA-F,6,6,517,1.2%,"No
"
17163,HLA-E,1,1,517,0.2%,"No
"
17164,HLF,12,9,517,1.7%,"Yes
"
17165,SPOUT1,15,13,517,2.5%,"No
"
17166,NOP16,6,6,517,1.2%,"No
"
17167,RTCB,29,22,517,4.3%,"No
"
17168,HLA-DRB5,2,2,517,0.4%,"No
"
17169,CTDSPL2,20,16,517,3.1%,"No
"
17170,HACD3,14,12,517,2.3%,"No
"
17171,PALM2AKAP2,78,44,517,8.5%,"No
"
17172,NELFCD,25,25,517,4.8%,"No
"
17173,PTPRA,40,31,517,6.0%,"No
"
17174,PTPRB,121,66,517,12.8%,"Yes
"
17175,TRIAP1,2,2,517,0.4%,"No
"
17176,PTPRC,80,49,517,9.5%,"Yes
"
17177,PTPRD,151,70,517,13.5%,"Yes
"
17178,ABCA17P,1,1,517,0.2%,"No
"
17179,HMBS,26,19,517,3.7%,"No
"
17180,HLX,23,23,517,4.4%,"No
"
17181,HLCS,29,20,517,3.9%,"No
"
17182,MR1,25,20,517,3.9%,"No
"
17183,HLA-L,2,2,517,0.4%,"No
"
17184,HLA-G,23,18,517,3.5%,"No
"
17185,PTPRM,73,45,517,8.7%,"No
"
17186,PTPRN,43,36,517,7.0%,"No
"
17187,PTPRN2,72,51,517,9.9%,"No
"
17188,MSR1,36,26,517,5.0%,"No
"
17189,MSRA,10,8,517,1.5%,"No
"
17190,MST1,28,24,517,4.6%,"Yes
"
17191,MST1R,49,32,517,6.2%,"Yes
"
17192,MSX1,8,7,517,1.4%,"No
"
17193,HMGCR,43,31,517,6.0%,"No
"
17194,HMGCL,10,10,517,1.9%,"No
"
17195,HMGN2,2,2,517,0.4%,"No
"
17196,HMGN1,5,5,517,1.0%,"No
"
17197,HMGB3,20,18,517,3.5%,"No
"
17198,HMGB2,12,12,517,2.3%,"No
"
17199,HMGB1,13,12,517,2.3%,"No
"
17200,MSMB,13,12,517,2.3%,"No
"
17201,MSN,57,39,517,7.5%,"Yes
"
17202,ITIH6,84,52,517,10.1%,"No
"
17203,MT1E,3,3,517,0.6%,"No
"
17204,MT1F,1,1,517,0.2%,"No
"
17205,MT1G,1,1,517,0.2%,"No
"
17206,MT1H,4,3,517,0.6%,"No
"
17207,C6ORF132,2,2,517,0.4%,"No
"
17208,HMX2,10,10,517,1.9%,"No
"
17209,HMX1,1,1,517,0.2%,"No
"
17210,NR4A1,20,15,517,2.9%,"No
"
17211,HMOX2,12,12,517,2.3%,"No
"
17212,HMOX1,16,16,517,3.1%,"No
"
17213,TSNAX-DISC1,1,1,517,0.2%,"No
"
17214,HMMR,48,35,517,6.8%,"No
"
17215,MT1B,1,1,517,0.2%,"No
"
17216,HMGCS2,33,27,517,5.2%,"No
"
17217,HMGCS1,20,19,517,3.7%,"No
"
17218,MSX2,10,10,517,1.9%,"No
"
17219,MT1A,5,5,517,1.0%,"No
"
17220,FOXA2,37,36,517,7.0%,"No
"
17221,TMEM52B,15,13,517,2.5%,"No
"
17222,HNRNPA1,14,14,517,2.7%,"No
"
17223,SLC29A2,16,14,517,2.7%,"No
"
17224,HNMT,19,16,517,3.1%,"No
"
17225,ONECUT1,21,18,517,3.5%,"No
"
17226,HNF4G,26,20,517,3.9%,"No
"
17227,HNF4A,42,27,517,5.2%,"No
"
17228,FOXA3,10,10,517,1.9%,"No
"
17229,FOXA1,27,19,517,3.7%,"Yes
"
17230,MT1M,2,2,517,0.4%,"No
"
17231,CCDC38,34,26,517,5.0%,"No
"
17232,HNRNPA2B1,18,17,517,3.3%,"Yes
"
17233,ZNF81,50,35,517,6.8%,"No
"
17234,HNRNPH3,18,16,517,3.1%,"No
"
17235,HNRNPH2,35,26,517,5.0%,"No
"
17236,GOLGA6L10,7,7,517,1.4%,"No
"
17237,HNRNPH1,20,19,517,3.7%,"No
"
17238,ZNF783,20,17,517,3.3%,"No
"
17239,HNRNPF,21,20,517,3.9%,"No
"
17240,HNRNPD,28,25,517,4.8%,"No
"
17241,HNRNPC,15,14,517,2.7%,"No
"
17242,HNRNPAB,19,18,517,3.5%,"No
"
17243,C10ORF90,61,38,517,7.4%,"No
"
17244,EYS,223,81,517,15.7%,"No
"
17245,HNRNPU,36,27,517,5.2%,"No
"
17246,HNRNPL,24,23,517,4.4%,"No
"
17247,HNRNPK,25,20,517,3.9%,"No
"
17248,HOXA2,33,25,517,4.8%,"No
"
17249,HOXA1,36,30,517,5.8%,"No
"
17250,TLX2,6,6,517,1.2%,"No
"
17251,TLX1,5,4,517,0.8%,"Yes
"
17252,NPIPA5,11,11,517,2.1%,"No
"
17253,DCAF8L2,63,44,517,8.5%,"No
"
17254,SPATA4,27,20,517,3.9%,"No
"
17255,ZEB2-AS1,1,1,517,0.2%,"No
"
17256,HS3ST6,9,9,517,1.7%,"No
"
17257,NUCKS1,15,13,517,2.5%,"No
"
17258,PDIA2,15,13,517,2.5%,"No
"
17259,DRAXIN,18,17,517,3.3%,"No
"
17260,COPS7B,7,7,517,1.4%,"No
"
17261,DEPDC4,11,10,517,1.9%,"No
"
17262,C11ORF40,16,15,517,2.9%,"No
"
17263,OR52I2,22,19,517,3.7%,"No
"
17264,PPME1,14,13,517,2.5%,"No
"
17265,OR51E1,21,17,517,3.3%,"No
"
17266,NOL7,11,11,517,2.1%,"No
"
17267,HEMK1,12,10,517,1.9%,"No
"
17268,CPEB2,38,31,517,6.0%,"No
"
