,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
9764,CLXN,7,7,534,1.3%,"No
"
9765,IARS2,22,19,534,3.6%,"No
"
9766,SRD5A3,2,2,534,0.4%,"No
"
9767,RADIL,29,29,534,5.4%,"No
"
9768,TMC4,12,12,534,2.2%,"No
"
9769,VAC14,9,7,534,1.3%,"No
"
9770,PANK3,5,5,534,0.9%,"No
"
9771,MAP7D3,21,20,534,3.7%,"No
"
9772,MCPH1,13,10,534,1.9%,"No
"
9773,TIMM50,8,7,534,1.3%,"No
"
9774,ACTR8,7,6,534,1.1%,"No
"
9775,ZNF321P,6,6,534,1.1%,"No
"
9776,MEX3D,4,4,534,0.7%,"No
"
9777,ATP5IF1,1,1,534,0.2%,"No
"
9778,EEIG1,9,9,534,1.7%,"No
"
9779,TMED7-TICAM2,3,3,534,0.6%,"No
"
9780,TUT7,25,20,534,3.7%,"No
"
9781,FN3KRP,3,3,534,0.6%,"No
"
9782,NLRX1,22,20,534,3.7%,"No
"
9783,VEPH1,16,14,534,2.6%,"No
"
9784,ZNF329,17,14,534,2.6%,"No
"
9785,OGFOD2,3,3,534,0.6%,"No
"
9786,FASTKD1,20,15,534,2.8%,"No
"
9787,SMC6,9,9,534,1.7%,"No
"
9788,VTCN1,8,8,534,1.5%,"Yes
"
9789,PRUNE2,51,37,534,6.9%,"No
"
9790,HEATR4,23,20,534,3.7%,"No
"
9791,R3HDM4,6,6,534,1.1%,"No
"
9792,CCDC60,13,11,534,2.1%,"No
"
9793,TMEM259,8,7,534,1.3%,"No
"
9794,OR10P1,8,8,534,1.5%,"No
"
9795,CERS3,19,15,534,2.8%,"No
"
9796,NEIL1,9,9,534,1.7%,"No
"
9797,PPP1R3B,1,1,534,0.2%,"No
"
9798,HSPBAP1,6,6,534,1.1%,"No
"
9799,TERF2IP,4,4,534,0.7%,"No
"
9800,DHX40,10,9,534,1.7%,"No
"
9801,ICE2,11,10,534,1.9%,"No
"
9802,PLEKHF2,6,6,534,1.1%,"No
"
9803,C3ORF52,3,3,534,0.6%,"No
"
9804,PARP8,17,12,534,2.2%,"No
"
9805,CLYBL,7,7,534,1.3%,"No
"
9806,SHOC1,24,18,534,3.4%,"No
"
9807,MGME1,3,2,534,0.4%,"No
"
9808,KIAA1958,10,10,534,1.9%,"No
"
9809,GAL3ST4,13,12,534,2.2%,"No
"
9810,ZNF322,5,5,534,0.9%,"No
"
9811,QTRT2,7,7,534,1.3%,"No
"
9812,MANEA,6,5,534,0.9%,"No
"
9813,YRDC,1,1,534,0.2%,"No
"
9814,ZC2HC1C,10,10,534,1.9%,"No
"
9815,GALNT12,7,6,534,1.1%,"No
"
9816,HIPK4,9,9,534,1.7%,"No
"
9817,ZMAT4,7,7,534,1.3%,"No
"
9818,SENP5,15,14,534,2.6%,"No
"
9819,ZNF560,29,17,534,3.2%,"No
"
9820,ZYG11B,12,12,534,2.2%,"No
"
9821,TMEM190,3,3,534,0.6%,"No
"
9822,SLFN12L,21,18,534,3.4%,"No
"
9823,SLC5A8,25,18,534,3.4%,"No
"
9824,REEP1,3,3,534,0.6%,"No
"
9825,ACD,5,5,534,0.9%,"No
"
9826,GPBP1,10,10,534,1.9%,"No
"
9827,RAPH1,13,13,534,2.4%,"No
"
