,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
786,TCEANC,1,1,149,0.7%,"No
"
787,GRIN2B,1,1,149,0.7%,"No
"
788,OR51L1,1,1,149,0.7%,"No
"
789,COL14A1,1,1,149,0.7%,"No
"
790,PF4V1,1,1,149,0.7%,"No
"
791,USP4,1,1,149,0.7%,"No
"
792,SPAG7,1,1,149,0.7%,"No
"
793,ACTA2,1,1,149,0.7%,"No
"
794,WDR45,1,1,149,0.7%,"No
"
795,QPCT,1,1,149,0.7%,"No
"
796,TEPP,1,1,149,0.7%,"No
"
797,UMPS,1,1,149,0.7%,"No
"
798,GRM1,1,1,149,0.7%,"No
"
799,KIAA1755,1,1,149,0.7%,"No
"
800,CNTNAP4,1,1,149,0.7%,"No
"
801,RAD54L2,1,1,149,0.7%,"No
"
802,LDB3,1,1,149,0.7%,"No
"
803,GRM8,1,1,149,0.7%,"No
"
804,PGBD2,1,1,149,0.7%,"No
"
805,GRM4,1,1,149,0.7%,"No
"
806,DOCK7,2,2,149,1.3%,"No
"
807,OTUD4,1,1,149,0.7%,"No
"
808,EVPLL,1,1,149,0.7%,"No
"
809,VSIG2,1,1,149,0.7%,"No
"
810,MCF2L2,1,1,149,0.7%,"No
"
811,KLHDC2,1,1,149,0.7%,"No
"
812,SLC24A2,1,1,149,0.7%,"No
"
813,LMNTD2,1,1,149,0.7%,"No
"
814,CYYR1,1,1,149,0.7%,"No
"
815,ELOA2,1,1,149,0.7%,"No
"
816,SCIN,1,1,149,0.7%,"No
"
817,EVA1A,1,1,149,0.7%,"No
"
818,CLOCK,1,1,149,0.7%,"No
"
819,USP1,1,1,149,0.7%,"No
"
820,GDF3,1,1,149,0.7%,"No
"
821,USH2A,1,1,149,0.7%,"No
"
822,KLHDC3,1,1,149,0.7%,"No
"
823,ACOT9,1,1,149,0.7%,"No
"
824,SUN2,2,2,149,1.3%,"No
"
825,TAB2,1,1,149,0.7%,"No
"
826,TBC1D22A,1,1,149,0.7%,"No
"
827,SELENOI,2,2,149,1.3%,"No
"
828,DGKG,1,1,149,0.7%,"No
"
829,FEM1C,1,1,149,0.7%,"No
"
830,GSR,1,1,149,0.7%,"No
"
831,CREB5,1,1,149,0.7%,"No
"
832,RBM39,1,1,149,0.7%,"No
"
833,EFCAB5,1,1,149,0.7%,"No
"
834,SLC35G6,1,1,149,0.7%,"No
"
835,INTS4,1,1,149,0.7%,"No
"
836,MRAP2,1,1,149,0.7%,"No
"
837,SOX13,1,1,149,0.7%,"No
"
838,MSL2,1,1,149,0.7%,"No
"
839,AFF4,1,1,149,0.7%,"Yes
"
840,SACS,3,3,149,2.0%,"No
"
841,ATP6V0D1,1,1,149,0.7%,"No
"
842,SYCE1,1,1,149,0.7%,"No
"
843,ZNF525,1,1,149,0.7%,"No
"
844,ZFP2,1,1,149,0.7%,"No
"
845,RDH10,1,1,149,0.7%,"No
"
846,LINC02908,1,1,149,0.7%,"No
"
847,MFSD2B,1,1,149,0.7%,"No
"
848,PPP1R18,1,1,149,0.7%,"No
"
849,IGSF23,1,1,149,0.7%,"No
"
850,MTMR7,1,1,149,0.7%,"No
"
851,FGF20,1,1,149,0.7%,"No
"
852,MSH6,1,1,149,0.7%,"Yes
"
853,TKTL1,1,1,149,0.7%,"No
"
854,PDLIM1,1,1,149,0.7%,"No
"
855,SMC3,1,1,149,0.7%,"Yes
"
856,ZBTB11,1,1,149,0.7%,"No
"
857,DMAC2L,1,1,149,0.7%,"No
"
858,RIF1,2,2,149,1.3%,"No
"
859,BOD1,1,1,149,0.7%,"No
"
860,CFAP221,1,1,149,0.7%,"No
"
861,KIT,21,20,149,13.4%,"Yes
"
862,GTF2E1,1,1,149,0.7%,"No
"
863,ARHGAP19,1,1,149,0.7%,"No
"
864,DCTN1,1,1,149,0.7%,"Yes
"
865,GTF2I,1,1,149,0.7%,"Yes
"
866,KIR3DL1,1,1,149,0.7%,"No
"
867,ARID1A,1,1,149,0.7%,"Yes
"
868,PBRM1,1,1,149,0.7%,"Yes
"
869,CENPP,1,1,149,0.7%,"No
"
870,PHF23,1,1,149,0.7%,"No
"
871,RESF1,1,1,149,0.7%,"No
"
872,SELENOO,1,1,149,0.7%,"No
"
873,CARD10,2,2,149,1.3%,"No
"
874,LCA5L,1,1,149,0.7%,"No
"
875,DYSF,1,1,149,0.7%,"No
"
876,EMID1,3,3,149,2.0%,"No
"
877,MAPK15,1,1,149,0.7%,"No
"
878,DMXL1,1,1,149,0.7%,"No
"
879,GUK1,1,1,149,0.7%,"No
"
880,GARIN5B,1,1,149,0.7%,"No
"
881,DCDC1,1,1,149,0.7%,"No
"
882,DDX3X,2,2,149,1.3%,"Yes
"
883,GUCY2C,1,1,149,0.7%,"No
"
884,FBXO2,1,1,149,0.7%,"No
"
885,TRMT6,1,1,149,0.7%,"No
"
886,LIN54,1,1,149,0.7%,"No
"
887,KRT73,1,1,149,0.7%,"No
"
888,CASD1,2,2,149,1.3%,"No
"
889,POTEE,1,1,149,0.7%,"No
"
890,MCM8,1,1,149,0.7%,"No
"
891,NAA15,1,1,149,0.7%,"No
"
892,IGHV3-53,2,2,149,1.3%,"No
"
893,WDR62,1,1,149,0.7%,"No
"
894,RBM17,1,1,149,0.7%,"No
"
895,TNPO1,1,1,149,0.7%,"No
"
896,KRAS,12,12,149,8.1%,"Yes
"
897,TAF9B,1,1,149,0.7%,"No
"
898,ASRGL1,1,1,149,0.7%,"No
"
899,SPATA18,1,1,149,0.7%,"No
"
900,IRX3,1,1,149,0.7%,"No
"
901,ACMSD,1,1,149,0.7%,"No
"
902,WASHC2A,1,1,149,0.7%,"No
"
903,IGKV3D-11,1,1,149,0.7%,"No
"
904,DGKI,2,2,149,1.3%,"No
"
905,SLC4A9,1,1,149,0.7%,"No
"
906,FUS,1,1,149,0.7%,"Yes
"
907,LARP4B,2,2,149,1.3%,"Yes
"
908,ISM2,1,1,149,0.7%,"No
"
909,CEP128,2,2,149,1.3%,"No
"
910,SLC2A10,1,1,149,0.7%,"No
"
911,KRT6A,1,1,149,0.7%,"No
"
912,KCNH6,1,1,149,0.7%,"No
"
913,NEB,3,3,149,2.0%,"No
"
914,CEP290,1,1,149,0.7%,"No
"
915,KRT9,1,1,149,0.7%,"No
"
916,DYNC2LI1,1,1,149,0.7%,"No
"
917,TAAR9,1,1,149,0.7%,"No
"
918,ARRDC5,1,1,149,0.7%,"No
"
919,IL1RL1,1,1,149,0.7%,"No
"
920,ATG4B,1,1,149,0.7%,"No
"
921,WNT5B,1,1,149,0.7%,"No
"
922,CLN5,1,1,149,0.7%,"No
"
923,DBX1,2,1,149,0.7%,"No
"
924,MDN1,2,2,149,1.3%,"No
"
925,CLN3,1,1,149,0.7%,"No
"
926,GJA9,2,2,149,1.3%,"No
"
927,FUT8,1,1,149,0.7%,"No
"
928,PSME4,1,1,149,0.7%,"No
"
929,OTUD6B,1,1,149,0.7%,"No
"
930,UBXN4,1,1,149,0.7%,"No
"
931,FREM1,1,1,149,0.7%,"No
"
932,WNK1,1,1,149,0.7%,"No
"
933,KRT19,1,1,149,0.7%,"No
"
934,REPS2,1,1,149,0.7%,"No
"
935,TBCE,1,1,149,0.7%,"No
"
936,POLE4,1,1,149,0.7%,"No
"
937,EID3,1,1,149,0.7%,"No
"
938,MTA3,1,1,149,0.7%,"No
"
939,CLTC,1,1,149,0.7%,"Yes
"
940,ATAD2,1,1,149,0.7%,"No
"
941,ZFHX4,3,3,149,2.0%,"No
"
942,TWNK,1,1,149,0.7%,"No
"
943,THAP7,1,1,149,0.7%,"No
"
944,RNF216,1,1,149,0.7%,"No
"
945,NDUFS3,1,1,149,0.7%,"No
"
946,ECT2L,2,2,149,1.3%,"Yes
"
947,KRT85,1,1,149,0.7%,"No
"
948,SLC16A7,1,1,149,0.7%,"No
"
949,DPCD,1,1,149,0.7%,"No
"
950,CASKIN2,1,1,149,0.7%,"No
"
951,GABRA4,1,1,149,0.7%,"No
"
952,ACER3,1,1,149,0.7%,"No
"
953,SERINC1,1,1,149,0.7%,"No
"
954,GABRA1,1,1,149,0.7%,"No
"
955,GABPB1,1,1,149,0.7%,"No
"
956,UNC13D,1,1,149,0.7%,"No
"
957,KRT33B,1,1,149,0.7%,"No
"
958,ZNF850,1,1,149,0.7%,"No
"
959,KCNE4,1,1,149,0.7%,"No
"
960,ADGRL1,1,1,149,0.7%,"No
"
961,PHLDB2,1,1,149,0.7%,"No
"
962,TMEM229A,1,1,149,0.7%,"No
"
963,NEK1,1,1,149,0.7%,"No
"
964,GAD1,1,1,149,0.7%,"No
"
965,CFHR4,1,1,149,0.7%,"No
"
966,NYNRIN,1,1,149,0.7%,"No
"
967,GABRP,1,1,149,0.7%,"No
"
968,TCF3,1,1,149,0.7%,"Yes
"
969,ALG9,1,1,149,0.7%,"No
"
970,COL18A1,1,1,149,0.7%,"No
"
971,SLC25A42,1,1,149,0.7%,"No
"
972,GABRG2,1,1,149,0.7%,"No
"
973,GAS2L2,2,2,149,1.3%,"No
"
974,GABRG1,1,1,149,0.7%,"No
"
975,SMOX,1,1,149,0.7%,"No
"
976,FGL2,1,1,149,0.7%,"No
"
977,RTL9,1,1,149,0.7%,"No
"
978,SLC37A1,1,1,149,0.7%,"No
"
979,OXLD1,1,1,149,0.7%,"No
"
980,WDR81,1,1,149,0.7%,"No
"
981,FAM117B,1,1,149,0.7%,"No
"
982,CAPN3,1,1,149,0.7%,"No
"
983,MAPK10,1,1,149,0.7%,"No
"
984,ARHGAP36,1,1,149,0.7%,"No
"
985,NFATC2,1,1,149,0.7%,"Yes
"
986,GPRIN1,1,1,149,0.7%,"No
"
987,CSMD3,1,1,149,0.7%,"No
"
988,CEP162,1,1,149,0.7%,"No
"
989,PRLR,1,1,149,0.7%,"No
"
990,TCOF1,2,2,149,1.3%,"No
"
991,TMEM176A,1,1,149,0.7%,"No
"
992,CNGA1,1,1,149,0.7%,"No
"
993,SP6,2,2,149,1.3%,"No
"
994,STK11IP,1,1,149,0.7%,"No
"
995,GALNT1,1,1,149,0.7%,"No
"
996,ZNF398,1,1,149,0.7%,"No
"
