,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
7973,DROSHA,28,28,484,5.8%,"Yes
"
7974,IGSF22,7,7,484,1.4%,"No
"
7975,NXF2B,4,4,484,0.8%,"No
"
7976,CTNNA3,39,35,484,7.2%,"No
"
7977,CNPY1,3,3,484,0.6%,"No
"
7978,DDX25,3,3,484,0.6%,"No
"
7979,BRD7,5,5,484,1.0%,"No
"
7980,HAUS3,1,1,484,0.2%,"No
"
7981,LRRC37B,9,8,484,1.7%,"No
"
7982,FYCO1,10,10,484,2.1%,"No
"
7983,LRRC2,3,3,484,0.6%,"No
"
7984,RPTN,12,12,484,2.5%,"No
"
7985,TBK1,11,10,484,2.1%,"No
"
7986,DCUN1D1,5,5,484,1.0%,"Yes
"
7987,TCHHL1,12,10,484,2.1%,"No
"
7988,BIRC7,5,5,484,1.0%,"No
"
7989,MYLIP,4,4,484,0.8%,"No
"
7990,PAGR1,1,1,484,0.2%,"No
"
7991,SAP30BP,6,6,484,1.2%,"No
"
7992,WDR25,6,6,484,1.2%,"No
"
7993,RNF166,2,2,484,0.4%,"No
"
7994,TAGLN3,1,1,484,0.2%,"No
"
7995,C6ORF15,6,6,484,1.2%,"No
"
7996,POTEF,28,27,484,5.6%,"No
"
7997,OR52N1,6,6,484,1.2%,"No
"
7998,OR12D3,10,10,484,2.1%,"No
"
7999,GABPB2,6,6,484,1.2%,"No
"
8000,TLR10,2,2,484,0.4%,"No
"
8001,ADAMTS10,12,12,484,2.5%,"No
"
8002,SLCO5A1,19,19,484,3.9%,"No
"
8003,RNF170,1,1,484,0.2%,"No
"
8004,TRIM47,4,4,484,0.8%,"No
"
8005,ADAMTS12,94,81,484,16.7%,"No
"
8006,SRGAP3-AS1,2,2,484,0.4%,"No
"
8007,ULBP3,2,2,484,0.4%,"No
"
8008,TRIM7,4,4,484,0.8%,"No
"
8009,NUAK2,4,4,484,0.8%,"No
"
8010,TIGD6,2,2,484,0.4%,"No
"
8011,FCRLB,2,2,484,0.4%,"No
"
8012,HARBI1,1,1,484,0.2%,"No
"
8013,STK35,1,1,484,0.2%,"No
"
8014,R3HDML,4,4,484,0.8%,"No
"
8015,KDF1,2,2,484,0.4%,"No
"
8016,TRIM74,1,1,484,0.2%,"No
"
8017,PP2D1,1,1,484,0.2%,"No
"
8018,SGO1,2,1,484,0.2%,"No
"
8019,TAFA4,2,2,484,0.4%,"No
"
8020,HTR3D,3,3,484,0.6%,"No
"
8021,RPL22L1,3,2,484,0.4%,"No
"
8022,TTC9B,1,1,484,0.2%,"No
"
8023,SHISA4,2,2,484,0.4%,"No
"
8024,EFHB,10,10,484,2.1%,"No
"
8025,JPH1,7,7,484,1.4%,"No
"
8026,GOT1L1,7,7,484,1.4%,"No
"
8027,TICAM1,2,2,484,0.4%,"No
"
8028,SHE,6,6,484,1.2%,"No
"
8029,TDRD10,6,6,484,1.2%,"No
"
8030,SLC51A,3,3,484,0.6%,"No
"
8031,FBXO45,3,3,484,0.6%,"No
"
8032,RETN,3,3,484,0.6%,"No
"
8033,OLFML1,4,4,484,0.8%,"No
"
8034,OR10A4,13,12,484,2.5%,"No
"
8035,ZNF786,10,10,484,2.1%,"No
"
8036,PTPDC1,4,3,484,0.6%,"No
"
8037,ESPL1,16,16,484,3.3%,"No
"
8038,PPP6R2,7,7,484,1.4%,"No
"
8039,VSIG8,4,4,484,0.8%,"No
"
8040,KLHDC8B,1,1,484,0.2%,"No
"
8041,SLC2A4RG,1,1,484,0.2%,"No
"
8042,RUBCN,15,15,484,3.1%,"No
"
8043,USP6NL,9,9,484,1.9%,"No
"
8044,GABRR3,10,10,484,2.1%,"No
"
8045,GLOD5,1,1,484,0.2%,"No
"
8046,GARRE1,7,7,484,1.4%,"No
"
8047,MUC20,7,7,484,1.4%,"No
"
8048,PRAMEF6,5,5,484,1.0%,"No
"
8049,TTC14,19,18,484,3.7%,"No
"
8050,DHX34,8,7,484,1.4%,"No
"
8051,C4ORF45,3,3,484,0.6%,"No
"
8052,ST18,32,26,484,5.4%,"No
"
8053,CEP57,5,5,484,1.0%,"No
"
8054,BLTP2,16,13,484,2.7%,"No
"
8055,PCDHGA8,19,19,484,3.9%,"No
"
8056,HERPUD1,2,2,484,0.4%,"Yes
"
8057,ULK2,7,7,484,1.4%,"No
"
8058,NOS1AP,6,6,484,1.2%,"No
"
8059,SEMA3E,20,19,484,3.9%,"No
"
8060,CCDC144A,4,4,484,0.8%,"No
"
8061,GPRIN2,7,7,484,1.4%,"No
"
8062,NOXO1,1,1,484,0.2%,"No
"
8063,VHLL,1,1,484,0.2%,"No
"
8064,OR10K2,17,17,484,3.5%,"No
"
8065,DOCK8,17,16,484,3.3%,"No
"
8066,OR10K1,16,14,484,2.9%,"No
"
8067,NCBP3,2,2,484,0.4%,"No
"
8068,GPALPP1,2,2,484,0.4%,"No
"
8069,SIRPG,11,11,484,2.3%,"No
"
8070,BARHL1,2,2,484,0.4%,"No
"
8071,ZNF331,12,12,484,2.5%,"Yes
"
8072,FAM131B,5,5,484,1.0%,"No
"
8073,AQR,12,12,484,2.5%,"No
"
8074,ADAMTSL2,1,1,484,0.2%,"No
"
8075,SEC14L5,5,5,484,1.0%,"No
"
8076,ECE2,14,13,484,2.7%,"No
"
8077,DCAF1,4,4,484,0.8%,"No
"
8078,SLC25A11,2,2,484,0.4%,"No
"
8079,SART3,3,2,484,0.4%,"No
"
8080,SOX14,12,12,484,2.5%,"No
"
8081,HDAC9,27,27,484,5.6%,"No
"
8082,CEP104,8,7,484,1.4%,"No
"
8083,OR6Y1,13,11,484,2.3%,"No
"
8084,DOCK4,29,28,484,5.8%,"No
"
8085,SPATA33,2,2,484,0.4%,"No
"
8086,OR6K3,19,19,484,3.9%,"No
"
8087,SPATA2L,2,2,484,0.4%,"No
"
8088,RIPK4,11,10,484,2.1%,"No
"
8089,ADA,4,4,484,0.8%,"No
"
8090,ADAM8,6,6,484,1.2%,"No
"
8091,ADAM10,4,4,484,0.8%,"No
"
8092,DTX3L,11,10,484,2.1%,"No
"
8093,ZYG11A,1,1,484,0.2%,"No
"
8094,ADAR,13,11,484,2.3%,"No
"
8095,ADARB1,8,6,484,1.2%,"No
"
8096,ADARB2,15,15,484,3.1%,"No
"
8097,GSAP,2,2,484,0.4%,"No
"
8098,CLIC6,2,2,484,0.4%,"No
"
8099,ADCY1,22,20,484,4.1%,"No
"
8100,ZNF646,17,13,484,2.7%,"No
"
8101,ADCY2,39,33,484,6.8%,"No
"
8102,RAB11FIP3,3,3,484,0.6%,"No
"
8103,ADCY3,9,9,484,1.9%,"No
"
8104,UTP14C,5,5,484,1.0%,"No
"
8105,TMEM63A,6,6,484,1.2%,"No
"
8106,TLR9,5,5,484,1.0%,"No
"
8107,STRADB,3,3,484,0.6%,"No
"
8108,SECISBP2L,9,8,484,1.7%,"No
"
8109,KIAA0408,6,6,484,1.2%,"No
"
8110,HORMAD2,1,1,484,0.2%,"No
"
8111,ZCCHC18,1,1,484,0.2%,"No
"
8112,ACAP1,5,5,484,1.0%,"No
"
8113,ZNF536,71,64,484,13.2%,"No
"
8114,EEA1,12,12,484,2.5%,"No
"
8115,IFT140,12,12,484,2.5%,"No
"
