,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
697,FAM167A,1,1,178,0.6%,"No
"
698,BBC3,1,1,178,0.6%,"Yes
"
699,SLC13A4,1,1,178,0.6%,"No
"
700,KLRC2,1,1,178,0.6%,"No
"
701,KLRD1,1,1,178,0.6%,"No
"
702,NEURL1,1,1,178,0.6%,"No
"
703,DYSF,1,1,178,0.6%,"No
"
704,TRRAP,1,1,178,0.6%,"Yes
"
705,LCE2B,1,1,178,0.6%,"No
"
706,CRELD2,1,1,178,0.6%,"No
"
707,SPIC,1,1,178,0.6%,"No
"
708,TIAM2,1,1,178,0.6%,"No
"
709,DCDC1,1,1,178,0.6%,"No
"
710,RSPH6A,1,1,178,0.6%,"No
"
711,PCSK7,1,1,178,0.6%,"Yes
"
712,IGHV3-43,1,1,178,0.6%,"No
"
713,LGALS9C,1,1,178,0.6%,"No
"
714,OR2L2,1,1,178,0.6%,"No
"
715,SLC30A5,1,1,178,0.6%,"No
"
716,ADAM2,1,1,178,0.6%,"No
"
717,BCL11B,1,1,178,0.6%,"Yes
"
718,ASRGL1,1,1,178,0.6%,"No
"
719,IRX6,1,1,178,0.6%,"No
"
720,RFTN1,1,1,178,0.6%,"No
"
721,LARP4B,1,1,178,0.6%,"Yes
"
722,KRT3,1,1,178,0.6%,"No
"
723,KCNH6,1,1,178,0.6%,"No
"
724,NEB,1,1,178,0.6%,"No
"
725,SLC25A39,1,1,178,0.6%,"No
"
726,NHLRC2,1,1,178,0.6%,"No
"
727,TTPAL,1,1,178,0.6%,"No
"
728,RSBN1L,1,1,178,0.6%,"No
"
729,GANAB,1,1,178,0.6%,"No
"
730,MCHR2,1,1,178,0.6%,"No
"
731,GTPBP10,1,1,178,0.6%,"No
"
732,KDSR,1,1,178,0.6%,"Yes
"
733,KRT14,1,1,178,0.6%,"No
"
734,MLXIP,1,1,178,0.6%,"No
"
735,DDX21,1,1,178,0.6%,"No
"
736,ARID3C,1,1,178,0.6%,"Yes
"
737,AHCTF1,2,2,178,1.1%,"No
"
738,GABBR1,1,1,178,0.6%,"No
"
739,OSMR,1,1,178,0.6%,"No
"
740,URM1,1,1,178,0.6%,"No
"
741,INPP5F,1,1,178,0.6%,"No
"
742,FAM83D,2,2,178,1.1%,"No
"
743,TBX2,1,1,178,0.6%,"No
"
744,ZFHX4,1,1,178,0.6%,"No
"
745,PPARGC1A,1,1,178,0.6%,"No
"
746,CNTN2,1,1,178,0.6%,"No
"
