,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
480,CD200R1,1,1,123,0.8%,"No
"
481,CREBRF,1,1,123,0.8%,"No
"
482,GNPDA2,1,1,123,0.8%,"No
"
483,SAMD4B,1,1,123,0.8%,"No
"
484,JUP,1,1,123,0.8%,"No
"
485,CYP1A2,1,1,123,0.8%,"No
"
486,GPS2,1,1,123,0.8%,"Yes
"
487,IQSEC2,1,1,123,0.8%,"No
"
488,GPS1,1,1,123,0.8%,"No
"
489,ADGRG7,1,1,123,0.8%,"No
"
490,PEDS1-UBE2V1,1,1,123,0.8%,"No
"
491,CYLD,3,3,123,2.4%,"Yes
"
492,POU2AF3,1,1,123,0.8%,"No
"
493,NUF2,1,1,123,0.8%,"Yes
"
494,ZC3H13,1,1,123,0.8%,"No
"
495,OPALIN,1,1,123,0.8%,"No
"
496,ADAM30,1,1,123,0.8%,"No
"
497,ADAM29,1,1,123,0.8%,"No
"
498,FASTKD3,1,1,123,0.8%,"No
"
499,GRIA2,1,1,123,0.8%,"No
"
500,DPF1,1,1,123,0.8%,"No
"
501,GRB14,1,1,123,0.8%,"No
"
502,CYP2B6,1,1,123,0.8%,"No
"
503,GGA2,1,1,123,0.8%,"No
"
504,SLC45A1,3,2,123,1.6%,"No
"
505,ANOS1,1,1,123,0.8%,"No
"
506,SLC6A19,1,1,123,0.8%,"No
"
507,CLEC9A,1,1,123,0.8%,"No
"
508,CEP120,1,1,123,0.8%,"No
"
509,ADAMTS13,1,1,123,0.8%,"No
"
510,KIF13A,1,1,123,0.8%,"No
"
511,VWA8,1,1,123,0.8%,"No
"
512,EML4,2,2,123,1.6%,"Yes
"
513,ZNF791,1,1,123,0.8%,"No
"
514,ATG9A,1,1,123,0.8%,"No
"
515,TMEM223,1,1,123,0.8%,"No
"
516,ARID4A,1,1,123,0.8%,"Yes
"
517,BSCL2,1,1,123,0.8%,"No
"
518,GRIK3,1,1,123,0.8%,"No
"
519,HECW1,1,1,123,0.8%,"No
"
520,BLTP3B,1,1,123,0.8%,"No
"
521,GRID2,1,1,123,0.8%,"No
"
522,SWAP70,1,1,123,0.8%,"No
"
523,TOR2A,1,1,123,0.8%,"No
"
524,MIGA2,1,1,123,0.8%,"No
"
525,RRP1B,1,1,123,0.8%,"No
"
526,GRIA4,1,1,123,0.8%,"No
"
527,ZSCAN10,1,1,123,0.8%,"No
"
528,RASA1,1,1,123,0.8%,"Yes
"
529,DTL,1,1,123,0.8%,"No
"
530,KCNC1,1,1,123,0.8%,"No
"
531,MRGPRX4,1,1,123,0.8%,"No
"
532,MRGPRX3,2,2,123,1.6%,"No
"
533,SMCO2,1,1,123,0.8%,"No
"
534,OCIAD2,1,1,123,0.8%,"No
"
535,ANGPTL1,1,1,123,0.8%,"No
"
536,ZNF622,1,1,123,0.8%,"No
"
537,CCDC63,2,2,123,1.6%,"No
"
538,ONECUT3,1,1,123,0.8%,"No
"
539,SCYL2,1,1,123,0.8%,"No
"
540,SYT7,1,1,123,0.8%,"No
"
541,MYBPC2,1,1,123,0.8%,"No
"
542,SLC46A2,1,1,123,0.8%,"No
"
543,MREG,1,1,123,0.8%,"No
"
544,KCND2,1,1,123,0.8%,"No
"
545,CPSF4L,1,1,123,0.8%,"No
"
546,RBBP8,2,2,123,1.6%,"No
"
547,FAM111B,1,1,123,0.8%,"No
"
548,SHC4,1,1,123,0.8%,"No
"
549,KCNH1,1,1,123,0.8%,"No
"
550,MYBPC1,1,1,123,0.8%,"No
"
551,CLDN10,1,1,123,0.8%,"No
"
552,ARHGAP33,1,1,123,0.8%,"No
"
553,EVI5L,2,2,123,1.6%,"No
"
554,CHD3,2,2,123,1.6%,"No
"
555,CHD2,1,1,123,0.8%,"Yes
"
556,RBP3,1,1,123,0.8%,"No
"
557,NSUN5,1,1,123,0.8%,"No
"
558,MYH1,1,1,123,0.8%,"No
"
559,ZNF790,1,1,123,0.8%,"No
"
560,CCNO,1,1,123,0.8%,"No
"
561,FANCI,1,1,123,0.8%,"No
"
562,CYP11B2,1,1,123,0.8%,"No
"
563,P3H2,1,1,123,0.8%,"No
"
564,RADIL,2,1,123,0.8%,"No
"
565,KCNJ5,1,1,123,0.8%,"Yes
"
566,ZNF321P,1,1,123,0.8%,"No
"
567,LRRC34,1,1,123,0.8%,"No
"
568,RDH5,1,1,123,0.8%,"No
"
569,LRRC1,1,1,123,0.8%,"No
"
570,LSM14B,1,1,123,0.8%,"No
"
571,CHGA,1,1,123,0.8%,"No
"
572,CHEK1,1,1,123,0.8%,"Yes
"
573,MYH2,1,1,123,0.8%,"No
"
574,KCNK3,1,1,123,0.8%,"No
"
575,CHL1,1,1,123,0.8%,"No
"
576,KCNMA1,1,1,123,0.8%,"No
"
577,MYH9,1,1,123,0.8%,"Yes
"
578,SIGLEC8,3,3,123,2.4%,"No
"
579,MYO1A,1,1,123,0.8%,"No
"
580,CHRM3,1,1,123,0.8%,"No
"
581,USP2,1,1,123,0.8%,"No
"
582,TBX18,1,1,123,0.8%,"No
"
583,CHRM1,1,1,123,0.8%,"No
"
584,ZNF776,1,1,123,0.8%,"No
"
585,DHX40,1,1,123,0.8%,"No
"
586,HM13,1,1,123,0.8%,"No
"
587,SLC38A7,1,1,123,0.8%,"No
"
588,UBA6,1,1,123,0.8%,"No
"
589,RDX,1,1,123,0.8%,"No
"
590,BYSL,1,1,123,0.8%,"No
"
591,KCNS2,1,1,123,0.8%,"No
"
592,NES,1,1,123,0.8%,"No
"
593,REG1A,1,1,123,0.8%,"No
"
594,HECTD4,3,3,123,2.4%,"No
"
595,DCAF12L2,1,1,123,0.8%,"No
"
596,HSPA4,1,1,123,0.8%,"No
"
597,BAALC-AS2,1,1,123,0.8%,"No
"
598,GAGE12H,1,1,123,0.8%,"No
"
599,REV3L,2,2,123,1.6%,"Yes
"
600,EGFLAM,1,1,123,0.8%,"No
"
601,MYO9B,1,1,123,0.8%,"No
"
602,MYO10,1,1,123,0.8%,"No
"
603,SUPT6H,1,1,123,0.8%,"No
"
604,SALL3,1,1,123,0.8%,"No
"
605,CHRNA7,2,2,123,1.6%,"No
"
606,PLK4,1,1,123,0.8%,"No
"
607,SLC47A1,1,1,123,0.8%,"No
"
608,ELFN1,1,1,123,0.8%,"No
"
609,NRIP2,1,1,123,0.8%,"No
"
610,STAG2,1,1,123,0.8%,"Yes
"
611,OR6C2,1,1,123,0.8%,"No
"
612,SPDYE3,1,1,123,0.8%,"No
"
613,CHD9,1,1,123,0.8%,"No
"
614,FBXO11,1,1,123,0.8%,"Yes
"
615,GALNTL6,1,1,123,0.8%,"No
"
616,MOB2,1,1,123,0.8%,"No
"
617,RENBP,1,1,123,0.8%,"No
"
618,MYO1E,1,1,123,0.8%,"No
"
619,C1QC,1,1,123,0.8%,"No
"
620,KIF5B,1,1,123,0.8%,"Yes
"
621,YME1L1,1,1,123,0.8%,"No
"
622,REST,1,1,123,0.8%,"Yes
"
623,MYO7B,1,1,123,0.8%,"No
"
624,ZNF615,1,1,123,0.8%,"No
"
625,PPP1R12B,1,1,123,0.8%,"No
"
626,MYT1,1,1,123,0.8%,"No
"
627,RFX4,1,1,123,0.8%,"No
"
628,RFX5,1,1,123,0.8%,"No
"
629,KIF4B,1,1,123,0.8%,"No
"
630,RFXAP,1,1,123,0.8%,"No
"
631,VWA5B1,1,1,123,0.8%,"No
"
632,TUBG2,1,1,123,0.8%,"No
"
633,KCNV2,2,2,123,1.6%,"No
"
634,WDR41,1,1,123,0.8%,"No
"
635,THNSL2,1,1,123,0.8%,"No
"
636,MTOR,2,2,123,1.6%,"Yes
"
637,LRRC9,1,1,123,0.8%,"No
"
638,SURF4,1,1,123,0.8%,"No
"
639,RAI1,1,1,123,0.8%,"No
"
640,CNKSR3,1,1,123,0.8%,"No
"
641,IRX4,1,1,123,0.8%,"No
"
642,SYK,1,1,123,0.8%,"Yes
"
643,PPP2R2A,2,1,123,0.8%,"Yes
"
644,HP1BP3,1,1,123,0.8%,"No
"
645,CERKL,1,1,123,0.8%,"No
"
646,MARK2,1,1,123,0.8%,"No
"
647,STK36,1,1,123,0.8%,"No
"
648,PCDHGA5,1,1,123,0.8%,"No
"
649,CENPI,1,1,123,0.8%,"No
"
650,EML1,1,1,123,0.8%,"No
"
651,HSPG2,2,2,123,1.6%,"No
"
652,PALD1,1,1,123,0.8%,"No
"
653,PLEKHG5,1,1,123,0.8%,"No
"
654,C7,1,1,123,0.8%,"No
"
655,NRG3,1,1,123,0.8%,"No
"
656,IZUMO1,1,1,123,0.8%,"No
"
657,FILIP1,2,2,123,1.6%,"No
"
658,ECHDC2,1,1,123,0.8%,"No
"
659,PCDHGA1,1,1,123,0.8%,"No
"
660,PPP1R8,1,1,123,0.8%,"No
"
661,INSYN2B,1,1,123,0.8%,"No
"
662,C9,1,1,123,0.8%,"No
"
663,RGS1,1,1,123,0.8%,"No
"
664,PPP1R10,2,1,123,0.8%,"No
"
665,UNC5D,1,1,123,0.8%,"No
"
666,TMEM237,1,1,123,0.8%,"No
"
667,PPP2R1A,1,1,123,0.8%,"Yes
"
668,DDX51,1,1,123,0.8%,"No
"
669,MAGEB18,2,2,123,1.6%,"No
"
670,ENG,1,1,123,0.8%,"No
"
671,TENM2,1,1,123,0.8%,"No
"
672,HTR1A,1,1,123,0.8%,"No
"
673,PHF10,2,2,123,1.6%,"No
"
674,PCDHB10,1,1,123,0.8%,"No
"
675,GAREM2,1,1,123,0.8%,"No
"
676,FGGY,1,1,123,0.8%,"No
"
677,OR4N2,1,1,123,0.8%,"No
"
678,PCDHB13,1,1,123,0.8%,"No
"
679,OSBPL7,1,1,123,0.8%,"No
"
680,EMP3,1,1,123,0.8%,"No
"
681,REXO1,1,1,123,0.8%,"No
"
682,ESCO2,1,1,123,0.8%,"Yes
"
683,DAGLA,1,1,123,0.8%,"No
"
