,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
1597,RNF32,1,1,65,1.5%,"No
"
1598,ARL4C,1,1,65,1.5%,"No
"
1599,NAA40,1,1,65,1.5%,"No
"
1600,DICER1,1,1,65,1.5%,"Yes
"
1601,ITIH6,1,1,65,1.5%,"No
"
1602,ESPL1,2,2,65,3.1%,"No
"
1603,PPP6R2,2,2,65,3.1%,"No
"
1604,TAS1R1,1,1,65,1.5%,"No
"
1605,NR4A1,1,1,65,1.5%,"No
"
1606,ATP13A2,1,1,65,1.5%,"No
"
1607,MAGEL2,1,1,65,1.5%,"No
"
1608,NECAB2,1,1,65,1.5%,"No
"
1609,DCST2,1,1,65,1.5%,"No
"
1610,PLCG1,1,1,65,1.5%,"Yes
"
1611,XRCC4,1,1,65,1.5%,"No
"
1612,MLYCD,1,1,65,1.5%,"No
"
1613,BCORL1,1,1,65,1.5%,"Yes
"
1614,PER3,1,1,65,1.5%,"No
"
1615,GARRE1,1,1,65,1.5%,"No
"
1616,PCDH15,1,1,65,1.5%,"No
"
1617,SIRT3,1,1,65,1.5%,"No
"
1618,KCNH4,1,1,65,1.5%,"No
"
1619,AZGP1,1,1,65,1.5%,"No
"
1620,RNF222,1,1,65,1.5%,"No
"
1621,GRIN3A,1,1,65,1.5%,"No
"
1622,HROB,1,1,65,1.5%,"No
"
1623,LOX,1,1,65,1.5%,"No
"
1624,SPAM1,1,1,65,1.5%,"No
"
1625,CFAP69,1,1,65,1.5%,"No
"
1626,LOXL2,2,1,65,1.5%,"No
"
1627,BLTP2,1,1,65,1.5%,"No
"
1628,PLTP,1,1,65,1.5%,"No
"
1629,PLXNA1,1,1,65,1.5%,"No
"
1630,PLXNA2,1,1,65,1.5%,"No
"
1631,SIL1,1,1,65,1.5%,"No
"
1632,PLXNB1,1,1,65,1.5%,"No
"
1633,PLXNB3,1,1,65,1.5%,"No
"
1634,LRP2,1,1,65,1.5%,"No
"
1635,ZFY,1,1,65,1.5%,"No
"
1636,GPRIN2,1,1,65,1.5%,"No
"
1637,HNRNPF,1,1,65,1.5%,"No
"
1638,DOCK8,1,1,65,1.5%,"No
"
1639,OR10K1,1,1,65,1.5%,"No
"
1640,ADGRB1,2,2,65,3.1%,"No
"
1641,JCAD,2,2,65,3.1%,"No
"
1642,ZFP36,1,1,65,1.5%,"No
"
1643,ZFP37,1,1,65,1.5%,"No
"
1644,SLAIN2,1,1,65,1.5%,"No
"
1645,FUT11,1,1,65,1.5%,"No
"
1646,HNRNPU,1,1,65,1.5%,"No
"
1647,PMM1,1,1,65,1.5%,"No
"
1648,FUBP1,1,1,65,1.5%,"Yes
"
1649,ZNF3,1,1,65,1.5%,"No
"
1650,HDAC9,1,1,65,1.5%,"No
"
1651,DOCK4,1,1,65,1.5%,"No
"
1652,NOP9,1,1,65,1.5%,"No
"
1653,HOXA1,1,1,65,1.5%,"No
"
1654,NOSIP,1,1,65,1.5%,"No
"
1655,ZNF646,1,1,65,1.5%,"No
"
1656,SHROOM3,1,1,65,1.5%,"No
"
1657,CPSF7,1,1,65,1.5%,"No
"
1658,FAM83C,1,1,65,1.5%,"No
"
1659,ARFGEF1,1,1,65,1.5%,"No
"
1660,TSHZ3,1,1,65,1.5%,"No
"
1661,PIANP,1,1,65,1.5%,"No
"
1662,SECISBP2L,2,2,65,3.1%,"No
"
1663,KIAA0408,1,1,65,1.5%,"No
"
1664,ZNF14,1,1,65,1.5%,"No
"
1665,ARHGAP32,1,1,65,1.5%,"No
"
1666,OR13C2,2,2,65,3.1%,"No
"
1667,RALGAPA2,1,1,65,1.5%,"No
"
1668,THOC2,1,1,65,1.5%,"No
"
1669,SYTL3,1,1,65,1.5%,"No
"
1670,ADCY8,1,1,65,1.5%,"No
"
1671,LYPLAL1,1,1,65,1.5%,"No
"
1672,ARHGAP24,1,1,65,1.5%,"No
"
1673,ADD2,1,1,65,1.5%,"No
"
1674,MCM3AP,2,2,65,3.1%,"No
"
1675,SETD1A,1,1,65,1.5%,"Yes
"
1676,PCDHA9,1,1,65,1.5%,"No
"
1677,SELENON,1,1,65,1.5%,"No
"
1678,PLIN2,1,1,65,1.5%,"No
"
1679,PDZRN4,1,1,65,1.5%,"No
"
1680,ADH4,1,1,65,1.5%,"No
"
1681,SLK,2,2,65,3.1%,"No
"
1682,LIME1,1,1,65,1.5%,"No
"
1683,RREB1,1,1,65,1.5%,"No
"
1684,RSU1,1,1,65,1.5%,"No
"
1685,TOX,1,1,65,1.5%,"No
"
1686,RTN2,1,1,65,1.5%,"No
"
1687,CRYBG3,1,1,65,1.5%,"No
"
1688,HUWE1,2,2,65,3.1%,"No
"
1689,TM4SF1,1,1,65,1.5%,"No
"
1690,ADORA2A,2,1,65,1.5%,"No
"
1691,AHCYL2,1,1,65,1.5%,"No
"
1692,KMT2B,1,1,65,1.5%,"Yes
"
1693,MXD1,1,1,65,1.5%,"No
"
1694,OR5AK2,1,1,65,1.5%,"No
"
1695,BCLAF1,1,1,65,1.5%,"No
"
1696,ZNF45,1,1,65,1.5%,"No
"
1697,SMAD3,1,1,65,1.5%,"Yes
"
1698,DUSP11,1,1,65,1.5%,"No
"
1699,THADA,1,1,65,1.5%,"No
"
1700,DYRK2,1,1,65,1.5%,"No
"
1701,NCAPH,2,2,65,3.1%,"No
"
1702,ACBD3,1,1,65,1.5%,"No
"
1703,ADORA3,1,1,65,1.5%,"No
"
1704,RYR1,2,2,65,3.1%,"No
"
1705,ZDHHC17,1,1,65,1.5%,"No
"
1706,AKT1S1,1,1,65,1.5%,"No
"
1707,LMOD2,1,1,65,1.5%,"No
"
1708,ASB15,1,1,65,1.5%,"No
"
1709,NSMAF,1,1,65,1.5%,"No
"
1710,RASAL1,2,2,65,3.1%,"No
"
1711,EPPK1,1,1,65,1.5%,"No
"
1712,OR2M3,1,1,65,1.5%,"No
"
1713,MIGA1,1,1,65,1.5%,"No
"
1714,S100A4,1,1,65,1.5%,"No
"
1715,MAG,1,1,65,1.5%,"No
"
1716,AP1M2,1,1,65,1.5%,"No
"
1717,GJC1,1,1,65,1.5%,"No
"
1718,PPP1R13B,1,1,65,1.5%,"No
"
1719,TNS3,1,1,65,1.5%,"No
"
1720,SAXO2,1,1,65,1.5%,"No
"
1721,ZNF629,1,1,65,1.5%,"No
"
1722,OBSL1,1,1,65,1.5%,"No
"
1723,TBC1D5,1,1,65,1.5%,"No
"
1724,DHX16,1,1,65,1.5%,"No
"
1725,RD3,1,1,65,1.5%,"No
"
1726,DRD3,1,1,65,1.5%,"No
"
1727,HR,1,1,65,1.5%,"No
"
1728,ACSF3,1,1,65,1.5%,"No
"
1729,FHIP2B,1,1,65,1.5%,"No
"
1730,MAML1,1,1,65,1.5%,"No
"
1731,ABCF2,1,1,65,1.5%,"No
"
1732,MYADML2,1,1,65,1.5%,"No
"
1733,ICE1,3,3,65,4.6%,"No
"
1734,C10ORF120,2,1,65,1.5%,"No
"
1735,AP2B1,1,1,65,1.5%,"No
"
1736,ARHGEF18,3,2,65,3.1%,"No
"
1737,TNS2,1,1,65,1.5%,"No
"
1738,FOXJ2,1,1,65,1.5%,"No
"
1739,PRKAG3,1,1,65,1.5%,"No
"
1740,PTOV1,1,1,65,1.5%,"No
"
1741,DSG2,1,1,65,1.5%,"No
"
1742,REV1,1,1,65,1.5%,"No
"
1743,DSG1,1,1,65,1.5%,"No
"
1744,DSCAM,2,2,65,3.1%,"No
"
1745,DSC3,1,1,65,1.5%,"No
"
1746,CDC42BPA,1,1,65,1.5%,"No
"
1747,TRIP11,1,1,65,1.5%,"Yes
"
1748,GPR65,1,1,65,1.5%,"No
"
1749,TNXB,1,1,65,1.5%,"No
"
1750,SYNE1,2,2,65,3.1%,"No
"
1751,SMCHD1,1,1,65,1.5%,"No
"
1752,ACAN,1,1,65,1.5%,"No
"
1753,TTC12,1,1,65,1.5%,"No
"
1754,DSP,1,1,65,1.5%,"No
"
1755,INTS11,1,1,65,1.5%,"No
"
1756,MUC17,1,1,65,1.5%,"No
"
1757,PECR,1,1,65,1.5%,"No
"
1758,EVL,1,1,65,1.5%,"No
"
1759,TMEM61,1,1,65,1.5%,"No
"
1760,DSPP,1,1,65,1.5%,"No
"
1761,MICAL1,2,1,65,1.5%,"No
"
1762,TOP2B,1,1,65,1.5%,"No
"
1763,CD163,1,1,65,1.5%,"No
"
1764,TP53,26,21,65,32.3%,"Yes
"
1765,RBM15,1,1,65,1.5%,"Yes
"
1766,OR10Z1,1,1,65,1.5%,"No
"
1767,PLIN5,1,1,65,1.5%,"No
"
1768,SH3RF2,1,1,65,1.5%,"No
"
1769,PIKFYVE,2,2,65,3.1%,"No
"
1770,NMRK1,1,1,65,1.5%,"No
"
1771,UBR4,2,1,65,1.5%,"No
"
1772,PLBD2,1,1,65,1.5%,"No
"
1773,RBM47,1,1,65,1.5%,"No
"
1774,HOOK3,1,1,65,1.5%,"Yes
"
1775,NAF1,1,1,65,1.5%,"No
"
1776,TMEM161B,1,1,65,1.5%,"No
"
1777,KCNT1,2,2,65,3.1%,"No
"
1778,YLPM1,2,2,65,3.1%,"No
"
1779,TP73,1,1,65,1.5%,"No
"
1780,HS6ST2,1,1,65,1.5%,"No
"
1781,HFM1,1,1,65,1.5%,"No
"
1782,AHR,1,1,65,1.5%,"No
"
1783,CTNNBL1,1,1,65,1.5%,"No
"
1784,NLRP4,1,1,65,1.5%,"No
"
1785,DUSP9,1,1,65,1.5%,"Yes
"
1786,PIGO,1,1,65,1.5%,"No
"
