,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
7633,TRMT13,2,2,366,0.5%,"No
"
7634,CHPF2,4,4,366,1.1%,"No
"
7635,LRRC74A,1,1,366,0.3%,"No
"
7636,DGCR8,1,1,366,0.3%,"No
"
7637,PHLDB2,3,3,366,0.8%,"No
"
7638,RCCD1,2,2,366,0.5%,"No
"
7639,TAS2R60,1,1,366,0.3%,"No
"
7640,FBXO31,1,1,366,0.3%,"Yes
"
7641,NEURL1B,1,1,366,0.3%,"No
"
7642,UGT2B28,2,2,366,0.5%,"No
"
7643,GSDMD,3,2,366,0.5%,"No
"
7644,HEATR5B,6,6,366,1.6%,"No
"
7645,PRMT7,2,2,366,0.5%,"No
"
7646,TMX3,1,1,366,0.3%,"No
"
7647,ZNF408,2,2,366,0.5%,"No
"
7648,KPRP,8,8,366,2.2%,"No
"
7649,C11ORF71,2,2,366,0.5%,"No
"
7650,ALG9,2,2,366,0.5%,"No
"
7651,COL18A1,6,5,366,1.4%,"No
"
7652,UGT2A3,2,2,366,0.5%,"No
"
7653,ARMC5,2,2,366,0.5%,"No
"
7654,THEMIS,6,5,366,1.4%,"No
"
7655,SMOX,3,3,366,0.8%,"No
"
7656,AMDHD1,2,2,366,0.5%,"No
"
7657,CCDC82,1,1,366,0.3%,"No
"
7658,LRRC31,1,1,366,0.3%,"No
"
7659,SLC2A14,1,1,366,0.3%,"No
"
7660,IQCA1,4,4,366,1.1%,"No
"
7661,MYH14,8,8,366,2.2%,"No
"
7662,SUGCT,4,4,366,1.1%,"No
"
7663,KLHL36,1,1,366,0.3%,"No
"
7664,ZNF665,4,4,366,1.1%,"No
"
7665,B9D2,1,1,366,0.3%,"No
"
7666,NOTCH2NLA,1,1,366,0.3%,"No
"
7667,TMEM177,2,2,366,0.5%,"No
"
7668,CLMN,4,3,366,0.8%,"No
"
7669,DRC1,2,2,366,0.5%,"No
"
7670,ARHGAP36,4,4,366,1.1%,"No
"
7671,ACBD5,1,1,366,0.3%,"No
"
7672,EFCAB3,3,3,366,0.8%,"No
"
7673,ABHD12B,1,1,366,0.3%,"No
"
7674,TMEM218,1,1,366,0.3%,"No
"
7675,VWA5B2,10,9,366,2.5%,"No
"
7676,NRROS,3,3,366,0.8%,"No
"
7677,INTS5,1,1,366,0.3%,"No
"
7678,DNHD1,7,7,366,1.9%,"No
"
7679,OR10A5,2,2,366,0.5%,"No
"
7680,OR2AG1,1,1,366,0.3%,"No
"
7681,FLG2,10,8,366,2.2%,"No
"
7682,HRNR,13,13,366,3.6%,"No
"
7683,SLCO6A1,5,5,366,1.4%,"No
"
7684,TRIM4,2,2,366,0.5%,"No
"
7685,RIBC1,1,1,366,0.3%,"No
"
7686,OR8G5,3,3,366,0.8%,"No
"
7687,STKLD1,2,2,366,0.5%,"No
"
7688,TSPAN18,1,1,366,0.3%,"No
"
7689,ISX,1,1,366,0.3%,"No
"
7690,KCNH7,4,4,366,1.1%,"No
"
7691,OR4D5,3,3,366,0.8%,"No
"
7692,SHKBP1,3,3,366,0.8%,"No
"
7693,OR6T1,2,2,366,0.5%,"No
"
7694,BTBD6,2,2,366,0.5%,"No
"
7695,OR10S1,2,2,366,0.5%,"No
"
7696,HELB,3,3,366,0.8%,"No
"
7697,FAM161B,2,2,366,0.5%,"No
"
7698,PTGR2,1,1,366,0.3%,"No
"
7699,TEX33,1,1,366,0.3%,"No
"
7700,CLEC4D,1,1,366,0.3%,"No
"
7701,OR10G8,5,5,366,1.4%,"No
"
7702,SLC35E4,1,1,366,0.3%,"No
"
7703,GPIHBP1,1,1,366,0.3%,"No
"
7704,IQCC,1,1,366,0.3%,"No
"
7705,INTS13,1,1,366,0.3%,"No
"
7706,ATF7IP,7,6,366,1.6%,"No
"
7707,N4BP2,5,5,366,1.4%,"No
"
7708,BTBD7,2,2,366,0.5%,"No
"
7709,ZNG1E,1,1,366,0.3%,"No
"
7710,NLRP9,4,4,366,1.1%,"No
"
7711,NLRP10,1,1,366,0.3%,"No
"
7712,NLRP14,3,3,366,0.8%,"No
"
7713,S100A7A,2,2,366,0.5%,"No
"
7714,HHAT,5,5,366,1.4%,"No
"
7715,C1ORF112,3,3,366,0.8%,"No
"
7716,FAM222B,3,3,366,0.8%,"No
"
7717,ARL3,1,1,366,0.3%,"No
"
7718,VPS35,2,2,366,0.5%,"No
"
7719,ARNT,1,1,366,0.3%,"Yes
"
7720,ZAR1,1,1,366,0.3%,"No
"
7721,DNAJC11,1,1,366,0.3%,"No
"
7722,ARR3,1,1,366,0.3%,"No
"
7723,ZFP64,5,5,366,1.4%,"No
"
7724,ARRB1,3,3,366,0.8%,"No
"
7725,NAXD,1,1,366,0.3%,"No
"
7726,SLC38A2,3,3,366,0.8%,"No
"
7727,ARFGAP1,3,3,366,0.8%,"No
"
7728,SERPINA9,1,1,366,0.3%,"No
"
7729,TNK1,1,1,366,0.3%,"No
"
7730,ENAH,1,1,366,0.3%,"No
"
7731,NLGN3,3,3,366,0.8%,"No
"
7732,IPO4,4,4,366,1.1%,"No
"
7733,STS,1,1,366,0.3%,"No
"
7734,MORC4,1,1,366,0.3%,"No
"
7735,PARVA,1,1,366,0.3%,"No
"
7736,ARSD,2,2,366,0.5%,"No
"
7737,EDEM2,3,3,366,0.8%,"No
"
7738,GTDC1,1,1,366,0.3%,"No
"
7739,B4GALT3,1,1,366,0.3%,"No
"
7740,CNDP2,4,3,366,0.8%,"No
"
7741,B4GALT2,1,1,366,0.3%,"No
"
7742,DNAH11,9,9,366,2.5%,"No
"
7743,NUP133,12,11,366,3.0%,"No
"
7744,PPCS,1,1,366,0.3%,"No
"
7745,SIAE,1,1,366,0.3%,"No
"
7746,AP5M1,2,2,366,0.5%,"No
"
7747,NPEPL1,3,3,366,0.8%,"No
"
7748,B3GALT1,1,1,366,0.3%,"No
"
7749,TBL1XR1,2,2,366,0.5%,"Yes
"
7750,B3GALNT1,1,1,366,0.3%,"No
"
7751,CCAR1,5,4,366,1.1%,"No
"
7752,MBTPS1,2,2,366,0.5%,"No
"
7753,ART4,2,2,366,0.5%,"No
"
7754,ARVCF,3,3,366,0.8%,"No
"
7755,CDK5RAP2,5,5,366,1.4%,"No
"
7756,TMEM30A,1,1,366,0.3%,"Yes
"
7757,OGDHL,2,2,366,0.5%,"No
"
7758,OGFOD3,2,2,366,0.5%,"No
"
7759,ABCC3,7,6,366,1.6%,"No
"
7760,WDR12,1,1,366,0.3%,"No
"
7761,ASAH1,1,1,366,0.3%,"No
"
7762,NOL4,6,6,366,1.6%,"No
"
7763,RCOR3,5,5,366,1.4%,"No
"
7764,C11ORF80,2,2,366,0.5%,"No
"
7765,UGGT2,2,2,366,0.5%,"No
"
7766,ASCL1,1,1,366,0.3%,"No
"
7767,INTS9,1,1,366,0.3%,"No
"
7768,LRRK1,9,8,366,2.2%,"No
"
7769,TNFRSF25,2,2,366,0.5%,"No
"
7770,COLGALT1,3,3,366,0.8%,"No
"
7771,RNGTT,1,1,366,0.3%,"No
"
7772,GPAA1,2,2,366,0.5%,"No
"
7773,UTRN,8,7,366,1.9%,"No
"
7774,CLRN1,1,1,366,0.3%,"No
"
7775,RNMT,1,1,366,0.3%,"No
"
7776,PBX4,1,1,366,0.3%,"No
"
7777,ESX1,3,3,366,0.8%,"No
"
7778,ZNF701,1,1,366,0.3%,"No
"
7779,ASCL2,1,1,366,0.3%,"No
"
7780,TTC17,2,2,366,0.5%,"No
"
7781,DHX32,2,2,366,0.5%,"No
"
