,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
8552,CNOT4,1,1,255,0.4%,"No
"
8553,CNOT2,1,1,255,0.4%,"No
"
8554,CNOT3,2,2,255,0.8%,"Yes
"
8555,FMN2,9,7,255,2.7%,"No
"
8556,KREMEN2,1,1,255,0.4%,"No
"
8557,HTRA4,1,1,255,0.4%,"No
"
8558,JCHAIN,1,1,255,0.4%,"No
"
8559,NONO,1,1,255,0.4%,"Yes
"
8560,NOS1,7,7,255,2.7%,"No
"
8561,NOS2,3,3,255,1.2%,"No
"
8562,AMZ1,1,1,255,0.4%,"No
"
8563,SLC2A7,2,2,255,0.8%,"No
"
8564,NOS3,1,1,255,0.4%,"No
"
8565,NPAS1,1,1,255,0.4%,"No
"
8566,TENT2,1,1,255,0.4%,"No
"
8567,ERICH5,1,1,255,0.4%,"No
"
8568,SLC22A24,1,1,255,0.4%,"No
"
8569,NOTCH1,7,5,255,2.0%,"Yes
"
8570,NPY,1,1,255,0.4%,"No
"
8571,CCDC88B,2,2,255,0.8%,"No
"
8572,NOTCH2,4,4,255,1.6%,"Yes
"
8573,NOTCH3,7,7,255,2.7%,"Yes
"
8574,NOTCH4,6,6,255,2.4%,"Yes
"
8575,CCN3,1,1,255,0.4%,"No
"
8576,NOVA1,1,1,255,0.4%,"No
"
8577,ANKRD11,4,4,255,1.6%,"Yes
"
8578,MS4A2,3,3,255,1.2%,"No
"
8579,FCER1A,1,1,255,0.4%,"No
"
8580,EFEMP1,1,1,255,0.4%,"No
"
8581,FBN2,4,4,255,1.6%,"No
"
8582,FBN1,6,5,255,2.0%,"No
"
8583,LGALS13,1,1,255,0.4%,"No
"
8584,DNAJA4,1,1,255,0.4%,"No
"
8585,NPAS2,1,1,255,0.4%,"No
"
8586,NPHP1,2,2,255,0.8%,"No
"
8587,NPHS1,4,4,255,1.6%,"No
"
8588,FCER2,3,3,255,1.2%,"No
"
8589,NPR2,1,1,255,0.4%,"No
"
8590,NPR3,2,2,255,0.8%,"No
"
8591,IL1A,1,1,255,0.4%,"No
"
8592,FCN2,1,1,255,0.4%,"No
"
8593,IK,1,1,255,0.4%,"No
"
8594,NDUFAF7,1,1,255,0.4%,"No
"
