,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
1295,ZNF521,1,1,86,1.2%,"Yes
"
1296,ADAM9,1,1,86,1.2%,"No
"
1297,PDIA4,2,2,86,2.3%,"No
"
1298,GEMIN5,1,1,86,1.2%,"No
"
1299,ABCB4,1,1,86,1.2%,"No
"
1300,PHB1,1,1,86,1.2%,"No
"
1301,SLC44A4,1,1,86,1.2%,"No
"
1302,HDAC1,1,1,86,1.2%,"Yes
"
1303,HTT,2,2,86,2.3%,"No
"
1304,NPAP1,1,1,86,1.2%,"No
"
1305,COL22A1,1,1,86,1.2%,"No
"
1306,HCRTR2,1,1,86,1.2%,"No
"
1307,LY6G6C,1,1,86,1.2%,"No
"
1308,TXLNG,1,1,86,1.2%,"No
"
1309,FGD6,1,1,86,1.2%,"No
"
1310,ZFP28,1,1,86,1.2%,"No
"
1311,NCKAP1L,2,2,86,2.3%,"No
"
1312,HELLS,1,1,86,1.2%,"No
"
1313,SLC22A3,1,1,86,1.2%,"No
"
1314,XIRP1,1,1,86,1.2%,"No
"
1315,SLIT3,1,1,86,1.2%,"No
"
1316,PHKA1,2,2,86,2.3%,"No
"
1317,RP1,1,1,86,1.2%,"No
"
1318,SLIT1,2,2,86,2.3%,"No
"
1319,RIN1,1,1,86,1.2%,"No
"
1320,NCOR1,3,3,86,3.5%,"Yes
"
1321,RSRC2,1,1,86,1.2%,"No
"
1322,SERPINE3,1,1,86,1.2%,"No
"
1323,OR5W2,1,1,86,1.2%,"No
"
1324,KCTD12,1,1,86,1.2%,"No
"
1325,ASTN1,1,1,86,1.2%,"No
"
1326,SLC22A1,1,1,86,1.2%,"No
"
1327,ZBBX,1,1,86,1.2%,"No
"
1328,ZFHX3,1,1,86,1.2%,"Yes
"
1329,RETREG1,1,1,86,1.2%,"No
"
