,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
808,ZNF431,1,1,36,2.8%,"No
"
809,ZFP2,1,1,36,2.8%,"No
"
810,KLHL11,1,1,36,2.8%,"No
"
811,INTS10,1,1,36,2.8%,"No
"
812,SERAC1,1,1,36,2.8%,"No
"
813,DNAAF2,1,1,36,2.8%,"No
"
814,SNX5,1,1,36,2.8%,"No
"
815,CPNE7,1,1,36,2.8%,"No
"
816,MORC1,1,1,36,2.8%,"No
"
817,PCARE,2,2,36,5.6%,"No
"
818,ROS1,1,1,36,2.8%,"Yes
"
819,SMC3,1,1,36,2.8%,"Yes
"
820,ATXN1L,1,1,36,2.8%,"No
"
821,RNF220,1,1,36,2.8%,"No
"
822,ZBTB11,1,1,36,2.8%,"No
"
823,SMG8,1,1,36,2.8%,"No
"
824,RGPD3,1,1,36,2.8%,"No
"
825,ROCK1,2,2,36,5.6%,"No
"
826,DMAC2L,1,1,36,2.8%,"No
"
827,UXS1,1,1,36,2.8%,"No
"
828,PPP1R16A,1,1,36,2.8%,"No
"
829,NOL12,1,1,36,2.8%,"No
"
830,FRAS1,1,1,36,2.8%,"No
"
831,SNX30,1,1,36,2.8%,"No
"
832,C9ORF152,1,1,36,2.8%,"No
"
833,CCDC168,1,1,36,2.8%,"No
"
834,DCT,1,1,36,2.8%,"No
"
835,ARID1A,4,4,36,11.1%,"Yes
"
836,PBRM1,7,7,36,19.4%,"Yes
"
837,CCDC170,1,1,36,2.8%,"No
"
838,FBXO24,1,1,36,2.8%,"No
"
839,DISP1,1,1,36,2.8%,"No
"
840,DDB2,2,2,36,5.6%,"Yes
"
841,ZNF703,1,1,36,2.8%,"Yes
"
842,CARD10,1,1,36,2.8%,"No
"
843,C1ORF94,1,1,36,2.8%,"No
"
844,OR51S1,1,1,36,2.8%,"No
"
845,APOBEC4,1,1,36,2.8%,"No
"
846,DHX9,1,1,36,2.8%,"No
"
847,GUSB,1,1,36,2.8%,"No
"
848,TRRAP,1,1,36,2.8%,"Yes
"
849,LCE2B,1,1,36,2.8%,"No
"
850,DMXL1,1,1,36,2.8%,"No
"
851,ZPBP2,1,1,36,2.8%,"No
"
852,KPNA3,1,1,36,2.8%,"No
"
853,CTC1,1,1,36,2.8%,"No
"
854,CFHR5,1,1,36,2.8%,"No
"
855,PJVK,1,1,36,2.8%,"No
"
856,SIK1,1,1,36,2.8%,"No
"
857,UBFD1,1,1,36,2.8%,"No
"
858,KRT1,1,1,36,2.8%,"No
"
859,GHDC,1,1,36,2.8%,"No
"
860,FAM50B,1,1,36,2.8%,"No
"
861,SKIDA1,1,1,36,2.8%,"No
"
862,NAA35,1,1,36,2.8%,"No
"
863,IPO5,1,1,36,2.8%,"No
"
864,KRAS,2,2,36,5.6%,"Yes
"
865,PAGE2B,1,1,36,2.8%,"No
"
866,DGKI,2,2,36,5.6%,"No
"
867,KRT10,1,1,36,2.8%,"No
"
868,PGBD1,1,1,36,2.8%,"No
"
869,KIF19,2,2,36,5.6%,"No
"
870,FUS,1,1,36,2.8%,"Yes
"
871,TRAPPC9,1,1,36,2.8%,"No
"
872,ZNF728,1,1,36,2.8%,"No
"
873,KRT3,1,1,36,2.8%,"No
"
874,KBTBD8,1,1,36,2.8%,"No
"
875,NEB,2,2,36,5.6%,"No
"
876,NHLRC2,1,1,36,2.8%,"No
"
877,NT5DC2,1,1,36,2.8%,"No
"
878,NRK,1,1,36,2.8%,"No
"
879,NDUFB10,1,1,36,2.8%,"No
"
880,CYFIP1,1,1,36,2.8%,"No
"
881,PLA2G4E,1,1,36,2.8%,"No
"
882,TEDC2,1,1,36,2.8%,"No
"
883,MDN1,1,1,36,2.8%,"No
"
884,UBXN4,1,1,36,2.8%,"No
"
885,C11ORF52,2,2,36,5.6%,"No
"
886,WNK1,1,1,36,2.8%,"No
"
887,PRR23E,1,1,36,2.8%,"No
"
888,IGSF10,1,1,36,2.8%,"No
"
889,SEC31A,1,1,36,2.8%,"Yes
"
890,PLEKHA6,1,1,36,2.8%,"No
"
891,PRAMEF12,1,1,36,2.8%,"No
"
892,CMA1,1,1,36,2.8%,"No
"
893,PIMREG,1,1,36,2.8%,"No
"
894,STARD5,1,1,36,2.8%,"No
"
895,MTUS1,1,1,36,2.8%,"No
"
896,CCDC74A,1,1,36,2.8%,"No
"
897,CNTN2,2,2,36,5.6%,"No
"
898,PRSS58,1,1,36,2.8%,"No
"
899,NDUFV1,1,1,36,2.8%,"No
"
900,TRIM39,1,1,36,2.8%,"No
"
901,INTS2,1,1,36,2.8%,"No
"
902,RTTN,1,1,36,2.8%,"No
"
903,KRT85,1,1,36,2.8%,"No
"
904,C9ORF131,1,1,36,2.8%,"No
"
905,GABRB3,1,1,36,2.8%,"No
"
906,ZHX2,1,1,36,2.8%,"No
"
907,CLSTN1,1,1,36,2.8%,"No
"
908,TUBGCP3,1,1,36,2.8%,"No
"
909,GABRA4,1,1,36,2.8%,"No
"
910,HSF5,1,1,36,2.8%,"No
"
911,CALD1,1,1,36,2.8%,"No
"
912,WDR33,1,1,36,2.8%,"No
"
913,ZNF850,1,1,36,2.8%,"No
"
914,CDIPT,1,1,36,2.8%,"No
"
915,ADGRL1,1,1,36,2.8%,"No
"
916,SLC9C1,1,1,36,2.8%,"No
"
917,IDH1,5,5,36,13.9%,"Yes
"
918,IDE,1,1,36,2.8%,"No
"
919,CASKIN1,1,1,36,2.8%,"No
"
920,SPRING1,1,1,36,2.8%,"No
"
921,HECW2,1,1,36,2.8%,"No
"
922,ARMC5,1,1,36,2.8%,"No
"
923,TCP11L1,1,1,36,2.8%,"No
"
924,BRWD1,1,1,36,2.8%,"No
"
925,NELL1,1,1,36,2.8%,"No
"
926,CFAP58,1,1,36,2.8%,"No
"
927,CAMK2D,1,1,36,2.8%,"No
"
928,TBX3,1,1,36,2.8%,"Yes
"
929,IDH2,2,2,36,5.6%,"Yes
"
930,ZNF354A,1,1,36,2.8%,"No
"
931,PPM1J,1,1,36,2.8%,"No
"
932,FNDC3A,1,1,36,2.8%,"No
"
933,SLC37A1,1,1,36,2.8%,"No
"
934,MYH14,1,1,36,2.8%,"No
"
935,WDR81,1,1,36,2.8%,"No
"
936,DIAPH3,1,1,36,2.8%,"No
"
937,ABCC2,1,1,36,2.8%,"No
"
938,CAPN1,1,1,36,2.8%,"No
"
939,NELL2,1,1,36,2.8%,"No
"
940,ZEB1,1,1,36,2.8%,"No
"
941,ALPK3,1,1,36,2.8%,"No
"
942,MAP2K1,1,1,36,2.8%,"Yes
"
943,ARHGAP36,1,1,36,2.8%,"No
"
944,RHOBTB3,1,1,36,2.8%,"No
"
945,NF2,2,2,36,5.6%,"Yes
"
946,MTFMT,1,1,36,2.8%,"No
"
947,PLK3,1,1,36,2.8%,"No
"
948,XKR4,3,2,36,5.6%,"No
"
949,CSMD3,1,1,36,2.8%,"No
"
950,ART5,1,1,36,2.8%,"No
"
951,SRPX2,1,1,36,2.8%,"No
"
952,STK11IP,1,1,36,2.8%,"No
"
953,RUVBL2,1,1,36,2.8%,"No
"
954,NFE2L2,1,1,36,2.8%,"Yes
"
955,NRROS,1,1,36,2.8%,"No
"
956,MED28,1,1,36,2.8%,"No
"
957,ETV5,1,1,36,2.8%,"Yes
"
958,ARID5A,1,1,36,2.8%,"Yes
"
959,PKD1L2,1,1,36,2.8%,"No
"
960,EPC1,1,1,36,2.8%,"No
"
961,ETS1,1,1,36,2.8%,"Yes
"
962,CSMD2,3,3,36,8.3%,"No
"
963,HRNR,1,1,36,2.8%,"No
"
964,ANKRD62,1,1,36,2.8%,"No
"
965,LRP8,1,1,36,2.8%,"No
"
966,NFE2L1,1,1,36,2.8%,"No
"
967,ACSM2B,1,1,36,2.8%,"No
"
968,MME,2,2,36,5.6%,"No
"
969,COL4A3,1,1,36,2.8%,"No
"
970,CEP126,1,1,36,2.8%,"No
"
971,ADGRF3,1,1,36,2.8%,"No
"
972,KLHL14,1,1,36,2.8%,"No
"
973,ZSCAN16,1,1,36,2.8%,"No
"
974,AFDN,2,2,36,5.6%,"Yes
"
975,ISX,1,1,36,2.8%,"No
"
976,OR6T1,1,1,36,2.8%,"No
"
977,IMPG2,2,2,36,5.6%,"No
"
978,COL9A1,1,1,36,2.8%,"No
"
979,IFRD1,1,1,36,2.8%,"No
"
980,TRMT5,1,1,36,2.8%,"No
"
981,COL8A2,1,1,36,2.8%,"No
"
982,CARNS1,1,1,36,2.8%,"No
"
983,COL7A1,2,2,36,5.6%,"No
"
984,COL6A3,3,3,36,8.3%,"No
"
985,COL6A1,1,1,36,2.8%,"No
"
986,UNC79,1,1,36,2.8%,"No
"
987,KCNIP4,1,1,36,2.8%,"No
"
988,FAM135A,1,1,36,2.8%,"No
"
989,ADAM33,1,1,36,2.8%,"No
"
990,ZNF534,1,1,36,2.8%,"No
"
