,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
3371,MAMLD1,5,4,514,0.8%,"No
"
3372,ZDHHC13,3,2,514,0.4%,"No
"
3373,MYO3B,4,4,514,0.8%,"No
"
3374,ZSWIM2,6,3,514,0.6%,"No
"
3375,SH2D3A,1,1,514,0.2%,"No
"
3376,RBM47,2,2,514,0.4%,"No
"
3377,UBAP2,1,1,514,0.2%,"No
"
3378,HOOK3,1,1,514,0.2%,"Yes
"
3379,RANBP9,1,1,514,0.2%,"No
"
3380,RHOF,1,1,514,0.2%,"No
"
3381,CST8,1,1,514,0.2%,"No
"
3382,ADAMTSL4,4,2,514,0.4%,"No
"
3383,EAPP,1,1,514,0.2%,"No
"
3384,FRMD7,4,4,514,0.8%,"No
"
3385,HS6ST2,4,4,514,0.8%,"No
"
3386,ADAT2,1,1,514,0.2%,"No
"
3387,SLC9B2,1,1,514,0.2%,"No
"
3388,GJA4,1,1,514,0.2%,"No
"
3389,GJA3,1,1,514,0.2%,"No
"
3390,NLRP4,5,4,514,0.8%,"No
"
3391,ZNF583,2,1,514,0.2%,"No
"
3392,GJA8,2,2,514,0.4%,"No
"
3393,ACTBL2,2,2,514,0.4%,"No
"
3394,GK2,4,4,514,0.8%,"No
"
3395,GK,1,1,514,0.2%,"No
"
3396,GPC3,2,2,514,0.4%,"Yes
"
3397,GLA,1,1,514,0.2%,"No
"
3398,SOST,1,1,514,0.2%,"No
"
3399,LIN9,2,1,514,0.2%,"No
"
3400,TRIM59,1,1,514,0.2%,"No
"
3401,ADSS1,1,1,514,0.2%,"No
"
3402,SIGIRR,1,1,514,0.2%,"No
"
3403,CAPN12,1,1,514,0.2%,"No
"
3404,GLB1,2,2,514,0.4%,"No
"
3405,TAMM41,2,2,514,0.4%,"No
"
3406,HAPLN1,1,1,514,0.2%,"No
"
3407,GLI1,3,3,514,0.6%,"Yes
"
3408,GLG1,2,2,514,0.4%,"No
"
3409,GLE1,2,2,514,0.4%,"No
"
3410,GLDC,3,3,514,0.6%,"No
"
3411,CRYAA,1,1,514,0.2%,"No
"
3412,CRY1,2,1,514,0.2%,"No
"
3413,CRX,2,2,514,0.4%,"No
"
3414,GLI3,5,4,514,0.8%,"No
"
3415,GLI2,4,3,514,0.6%,"No
"
3416,PRR22,1,1,514,0.2%,"No
"
3417,OR9A2,1,1,514,0.2%,"No
"
3418,CRYBB2,1,1,514,0.2%,"No
"
3419,GLUD1,4,4,514,0.8%,"No
"
