,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
3327,MIDEAS,1,1,200,0.5%,"Yes
"
3328,MACROD2,1,1,200,0.5%,"No
"
3329,CCDC32,1,1,200,0.5%,"No
"
3330,YTHDC1,1,1,200,0.5%,"No
"
3331,SHB,1,1,200,0.5%,"No
"
3332,NUP62,1,1,200,0.5%,"No
"
3333,PCYT1A,2,2,200,1.0%,"No
"
3334,ZYX,1,1,200,0.5%,"No
"
3335,PDC,2,2,200,1.0%,"No
"
3336,PDCD2,1,1,200,0.5%,"No
"
3337,SHC1,2,2,200,1.0%,"No
"
3338,AHNAK2,6,4,200,2.0%,"No
"
3339,TMTC2,1,1,200,0.5%,"No
"
3340,ZNF846,1,1,200,0.5%,"No
"
3341,CA14,1,1,200,0.5%,"No
"
3342,TTBK2,4,3,200,1.5%,"No
"
3343,RXYLT1,1,1,200,0.5%,"No
"
3344,PCSK2,1,1,200,0.5%,"No
"
3345,IKZF1,1,1,200,0.5%,"Yes
"
3346,PDE4D,1,1,200,0.5%,"No
"
3347,SI,2,2,200,1.0%,"No
"
3348,MAGED1,1,1,200,0.5%,"Yes
"
3349,MRPS24,1,1,200,0.5%,"No
"
3350,XIRP2,3,3,200,1.5%,"No
"
3351,CHSY3,1,1,200,0.5%,"No
"
3352,LRRC3B,1,1,200,0.5%,"No
"
3353,PRDM2,1,1,200,0.5%,"No
"
3354,ST3GAL2,1,1,200,0.5%,"No
"
3355,PDE9A,1,1,200,0.5%,"No
"
3356,ADAMTS1,2,2,200,1.0%,"No
"
3357,PDE1B,1,1,200,0.5%,"No
"
3358,ST3GAL3,1,1,200,0.5%,"No
"
3359,PDGFRA,1,1,200,0.5%,"Yes
"
3360,PMPCB,1,1,200,0.5%,"No
"
3361,MRPS5,1,1,200,0.5%,"No
"
3362,MUS81,1,1,200,0.5%,"No
"
3363,CHMP3,1,1,200,0.5%,"No
"
3364,CDK5RAP1,1,1,200,0.5%,"No
"
3365,STYXL1,1,1,200,0.5%,"No
"
3366,SIX3,1,1,200,0.5%,"No
"
3367,PDK3,2,2,200,1.0%,"No
"
3368,PDK4,1,1,200,0.5%,"No
"
3369,ENPP2,1,1,200,0.5%,"No
"
3370,ENPP3,1,1,200,0.5%,"No
"
3371,SKIC2,1,1,200,0.5%,"No
"
3372,SLC35F1,1,1,200,0.5%,"No
"
3373,PMEL,1,1,200,0.5%,"No
"
3374,PDHA2,1,1,200,0.5%,"No
"
3375,FOXP4,1,1,200,0.5%,"No
"
3376,WDR72,1,1,200,0.5%,"No
"
3377,ZNF526,1,1,200,0.5%,"No
"
3378,PDGFRB,1,1,200,0.5%,"Yes
"
3379,SPTLC2,1,1,200,0.5%,"No
"
3380,STXBP5L,1,1,200,0.5%,"No
"
3381,ASB4,1,1,200,0.5%,"No
"
3382,NCKAP5,1,1,200,0.5%,"No
"
3383,GDF5,1,1,200,0.5%,"No
"
3384,BAG3,1,1,200,0.5%,"No
"
3385,GMFG,1,1,200,0.5%,"No
"
3386,PEG3,1,1,200,0.5%,"No
"
3387,NCOA3,3,3,200,1.5%,"Yes
"
3388,ZNF254,1,1,200,0.5%,"No
"
3389,TBC1D16,1,1,200,0.5%,"No
"
3390,CLVS2,1,1,200,0.5%,"No
"
3391,CCSER1,2,2,200,1.0%,"No
"
3392,GPRC6A,2,2,200,1.0%,"No
"
3393,RFX6,1,1,200,0.5%,"No
"
3394,SLC47A2,1,1,200,0.5%,"No
"
3395,PDP1,2,2,200,1.0%,"No
"
3396,COL25A1,2,2,200,1.0%,"No
"
3397,NRG2,1,1,200,0.5%,"No
"
3398,TP53I3,1,1,200,0.5%,"No
"
3399,SF3A1,1,1,200,0.5%,"No
"
3400,CIR1,1,1,200,0.5%,"No
"
3401,SPEG,2,2,200,1.0%,"No
"
3402,PEX1,1,1,200,0.5%,"No
"
3403,ARHGAP35,3,3,200,1.5%,"Yes
"
3404,LDHAL6A,1,1,200,0.5%,"No
"
3405,GRIK4,5,5,200,2.5%,"No
"
3406,TGM7,2,2,200,1.0%,"No
"
3407,SUFU,1,1,200,0.5%,"Yes
"
3408,GRIN2D,1,1,200,0.5%,"No
"
3409,MARCHF6,2,1,200,0.5%,"No
"
3410,GRIN2C,1,1,200,0.5%,"No
"
3411,EI24,1,1,200,0.5%,"No
"
3412,GRIN2B,2,2,200,1.0%,"No
"
3413,SLC6A20,1,1,200,0.5%,"No
"
3414,GRIK5,1,1,200,0.5%,"No
"
3415,RBFOX1,1,1,200,0.5%,"No
"
3416,SYN3,1,1,200,0.5%,"No
"
3417,PEX6,1,1,200,0.5%,"No
"
3418,PEX13,1,1,200,0.5%,"No
"
3419,GRM1,1,1,200,0.5%,"No
"
3420,GRM8,3,3,200,1.5%,"No
"
3421,NOL4L,2,1,200,0.5%,"No
"
3422,NKX2-3,1,1,200,0.5%,"No
"
3423,GRM6,1,1,200,0.5%,"No
"
3424,GRM4,1,1,200,0.5%,"No
"
3425,GRM3,2,2,200,1.0%,"Yes
"
3426,GRM2,1,1,200,0.5%,"No
"
3427,H6PD,1,1,200,0.5%,"No
"
3428,USP11,1,1,200,0.5%,"No
"
3429,GABBR2,1,1,200,0.5%,"No
"
3430,GTF2IRD1,1,1,200,0.5%,"No
"
3431,RIGI,1,1,200,0.5%,"No
"
3432,ELP5,1,1,200,0.5%,"No
"
3433,TRIM69,1,1,200,0.5%,"No
"
3434,PHACTR3,2,2,200,1.0%,"No
"
3435,CASP14,1,1,200,0.5%,"No
"
3436,CCNDBP1,1,1,200,0.5%,"No
"
3437,SMUG1,2,2,200,1.0%,"No
"
3438,STAG1,1,1,200,0.5%,"Yes
"
3439,UBE4B,1,1,200,0.5%,"No
"
3440,EFS,2,2,200,1.0%,"No
"
3441,FAM210B,1,1,200,0.5%,"No
"
3442,PDIA3,1,1,200,0.5%,"No
"
3443,STX18,2,2,200,1.0%,"No
"
3444,CLOCK,1,1,200,0.5%,"No
"
3445,SMC1A,9,9,200,4.5%,"Yes
"
3446,CDC42BPB,1,1,200,0.5%,"No
"
3447,CWC27,1,1,200,0.5%,"No
"
3448,OPN3,1,1,200,0.5%,"No
"
3449,KLHDC3,1,1,200,0.5%,"No
"
3450,ACOT9,1,1,200,0.5%,"No
"
3451,PATZ1,1,1,200,0.5%,"Yes
"
3452,NR1D1,2,2,200,1.0%,"No
"
3453,DAB2,2,2,200,1.0%,"No
"
3454,GSK3B,1,1,200,0.5%,"Yes
"
3455,PDSS1,1,1,200,0.5%,"No
"
3456,DNAAF10,1,1,200,0.5%,"No
"
3457,RNF144B,1,1,200,0.5%,"No
"
3458,AK9,2,2,200,1.0%,"No
"
3459,CXORF58,1,1,200,0.5%,"No
"
3460,DGKG,1,1,200,0.5%,"No
"
3461,USP9X,3,3,200,1.5%,"No
"
3462,LILRB2,1,1,200,0.5%,"No
"
3463,CCDC180,1,1,200,0.5%,"No
"
3464,DAG1,1,1,200,0.5%,"No
"
3465,GSPT1,1,1,200,0.5%,"No
"
3466,PXDNL,1,1,200,0.5%,"No
"
3467,EFCAB5,2,2,200,1.0%,"No
"
3468,WTAP,2,1,200,0.5%,"No
"
3469,INTS4,1,1,200,0.5%,"No
"
3470,CYTH4,1,1,200,0.5%,"No
"
3471,ARHGEF10L,1,1,200,0.5%,"No
"
3472,HSPB7,1,1,200,0.5%,"No
"
3473,SHQ1,1,1,200,0.5%,"Yes
"
3474,ODF4,1,1,200,0.5%,"No
"
3475,MAP3K19,1,1,200,0.5%,"No
"
3476,OXER1,1,1,200,0.5%,"No
"
3477,DAO,1,1,200,0.5%,"No
"
3478,IGHV2-26,1,1,200,0.5%,"No
"
3479,AFF4,1,1,200,0.5%,"Yes
"
3480,NT5DC1,1,1,200,0.5%,"No
"
3481,XKRX,1,1,200,0.5%,"No
"
3482,WEE2,1,1,200,0.5%,"No
"
3483,CYP2R1,1,1,200,0.5%,"No
"
3484,DAXX,2,2,200,1.0%,"Yes
"
3485,GSTM3,1,1,200,0.5%,"No
"
3486,MROH2B,3,3,200,1.5%,"No
"
3487,CXORF65,1,1,200,0.5%,"No
"
3488,AKAP12,2,2,200,1.0%,"No
"
3489,SNX5,1,1,200,0.5%,"No
"
3490,KCNRG,1,1,200,0.5%,"No
"
3491,MRM3,1,1,200,0.5%,"No
"
3492,UNC45B,1,1,200,0.5%,"No
"
3493,INVS,1,1,200,0.5%,"No
"
3494,ZNF614,1,1,200,0.5%,"No
"
3495,MORC1,1,1,200,0.5%,"No
"
3496,OR6N2,1,1,200,0.5%,"No
"
3497,KCNH5,1,1,200,0.5%,"No
"
3498,UQCR10,1,1,200,0.5%,"No
"
3499,TJP3,1,1,200,0.5%,"No
"
3500,MSH6,1,1,200,0.5%,"Yes
"
3501,DSEL,1,1,200,0.5%,"No
"
3502,OR2A5,1,1,200,0.5%,"No
"
3503,ZBTB11,1,1,200,0.5%,"No
"
3504,LINS1,1,1,200,0.5%,"No
"
3505,DHX36,1,1,200,0.5%,"No
"
3506,RIF1,1,1,200,0.5%,"No
"
3507,DHRS11,1,1,200,0.5%,"No
"
3508,DCTD,1,1,200,0.5%,"No
"
3509,USP25,1,1,200,0.5%,"No
"
3510,UXS1,1,1,200,0.5%,"No
"
3511,CFAP221,2,2,200,1.0%,"No
"
3512,GTF2H1,1,1,200,0.5%,"No
"
3513,VPS13D,4,3,200,1.5%,"No
"
3514,IGHV3-33,1,1,200,0.5%,"No
"
3515,ZC3H12A,1,1,200,0.5%,"No
"
3516,GTF2E1,1,1,200,0.5%,"No
"
3517,DCTN1,3,2,200,1.0%,"Yes
"
3518,DCT,1,1,200,0.5%,"No
"
3519,GTF2H4,1,1,200,0.5%,"No
"
3520,ACE,2,1,200,0.5%,"No
"
3521,ARID1A,2,2,200,1.0%,"Yes
"
3522,H1-8,2,2,200,1.0%,"No
"
3523,GUCA2A,1,1,200,0.5%,"No
"
3524,PBRM1,3,3,200,1.5%,"Yes
"
3525,PDE7B,1,1,200,0.5%,"No
"
3526,KDM5D,1,1,200,0.5%,"No
"
3527,RPRD1A,1,1,200,0.5%,"No
"
3528,AGXT2,1,1,200,0.5%,"No
"
3529,GUCY1A2,1,1,200,0.5%,"No
"
3530,AKR1C1,1,1,200,0.5%,"No
"
3531,GTF3C1,2,2,200,1.0%,"No
"
3532,GTF3A,1,1,200,0.5%,"No
"
3533,IGHV3-23,1,1,200,0.5%,"No
"
3534,GUCA1A,1,1,200,0.5%,"No
"
3535,DCST1,1,1,200,0.5%,"No
"
3536,DYSF,4,3,200,1.5%,"No
"
3537,TRRAP,1,1,200,0.5%,"Yes
"
3538,DMXL1,2,2,200,1.0%,"No
"
3539,GUF1,1,1,200,0.5%,"No
"
3540,ABHD18,1,1,200,0.5%,"No
"
3541,ZPBP2,1,1,200,0.5%,"No
"
3542,DCDC1,1,1,200,0.5%,"No
"
3543,DDX3X,1,1,200,0.5%,"Yes
"
3544,DDX1,1,1,200,0.5%,"No
"
3545,GUCY2C,1,1,200,0.5%,"No
"
3546,JAGN1,1,1,200,0.5%,"No
"
3547,GUCY1A1,1,1,200,0.5%,"No
"
3548,DDOST,1,1,200,0.5%,"No
"
3549,CTC1,1,1,200,0.5%,"No
"
3550,NOP58,1,1,200,0.5%,"No
"
3551,OR7D4,1,1,200,0.5%,"No
"
3552,ZNF788P,1,1,200,0.5%,"No
"
3553,TAAR6,1,1,200,0.5%,"No
"
3554,LILRP2,1,1,200,0.5%,"No
"
3555,LENG1,2,2,200,1.0%,"No
"
3556,CWH43,3,3,200,1.5%,"No
"
3557,DECR1,1,1,200,0.5%,"No
"
3558,GYS1,1,1,200,0.5%,"No
"
3559,NAA15,1,1,200,0.5%,"No
"
3560,IGHV3-49,1,1,200,0.5%,"No
"
3561,RINT1,2,1,200,0.5%,"No
"
3562,NAA35,4,4,200,2.0%,"No
"
3563,EDC3,1,1,200,0.5%,"No
"
