,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
7808,CNOT8,1,1,402,0.2%,"No
"
7809,RBM15,1,1,402,0.2%,"Yes
"
7810,TBC1D15,2,2,402,0.5%,"No
"
7811,GINS3,1,1,402,0.2%,"No
"
7812,EPS8L2,2,2,402,0.5%,"No
"
7813,LEMD2,1,1,402,0.2%,"No
"
7814,EXO5,2,2,402,0.5%,"No
"
7815,SPESP1,2,2,402,0.5%,"No
"
7816,LIMA1,2,2,402,0.5%,"No
"
7817,CYB5RL,1,1,402,0.2%,"No
"
7818,GTF3C5,2,2,402,0.5%,"No
"
7819,NR4A3,1,1,402,0.2%,"Yes
"
7820,WDR47,2,2,402,0.5%,"No
"
7821,EFTUD2,2,2,402,0.5%,"No
"
7822,RALY,1,1,402,0.2%,"No
"
7823,MMRN1,3,3,402,0.7%,"No
"
7824,NCBP2,1,1,402,0.2%,"No
"
7825,IGLON5,1,1,402,0.2%,"No
"
7826,RALBP1,1,1,402,0.2%,"No
"
7827,KCNT1,4,4,402,1.0%,"No
"
7828,YLPM1,6,6,402,1.5%,"No
"
7829,TMEM181,1,1,402,0.2%,"No
"
7830,ARHGAP21,2,2,402,0.5%,"No
"
7831,GLP2R,1,1,402,0.2%,"No
"
7832,PREX1,7,7,402,1.7%,"No
"
7833,PPP1R21,1,1,402,0.2%,"No
"
7834,TM2D2,2,2,402,0.5%,"No
"
7835,MRO,1,1,402,0.2%,"No
"
7836,CDCA7,1,1,402,0.2%,"No
"
7837,MORF4L1,2,2,402,0.5%,"No
"
7838,USHBP1,2,2,402,0.5%,"No
"
7839,GPR75,2,2,402,0.5%,"No
"
7840,RNF20,2,2,402,0.5%,"No
"
7841,CRAMP1,2,2,402,0.5%,"No
"
7842,GPR61,1,1,402,0.2%,"No
"
7843,TMX4,1,1,402,0.2%,"No
"
7844,HMCN1,17,17,402,4.2%,"No
"
7845,EHD1,1,1,402,0.2%,"No
"
7846,BCO2,1,1,402,0.2%,"No
"
7847,MEPCE,1,1,402,0.2%,"No
"
7848,DHX30,1,1,402,0.2%,"No
"
7849,LIPK,1,1,402,0.2%,"No
"
7850,FAN1,1,1,402,0.2%,"No
"
7851,RAB34,1,1,402,0.2%,"No
"
7852,LIPN,1,1,402,0.2%,"No
"
7853,LHX2,1,1,402,0.2%,"No
"
7854,SLC22A6,5,5,402,1.2%,"No
"
7855,SLIT2,2,2,402,0.5%,"No
"
7856,UBE4A,1,1,402,0.2%,"No
"
7857,MAPRE3,1,1,402,0.2%,"No
"
7858,MLLT10,2,2,402,0.5%,"Yes
"
7859,CUBN,10,10,402,2.5%,"No
"
7860,STAM,2,2,402,0.5%,"No
"
7861,SEPHS2,1,1,402,0.2%,"No
"
7862,GPCPD1,1,1,402,0.2%,"No
"
7863,ZNF687,3,3,402,0.7%,"No
"
7864,AFG3L2,2,2,402,0.5%,"No
"
7865,EBF4,1,1,402,0.2%,"No
"
7866,PDZD4,1,1,402,0.2%,"No
"
7867,NUP214,1,1,402,0.2%,"Yes
"
7868,KIFAP3,1,1,402,0.2%,"No
"
7869,MRTFA,3,3,402,0.7%,"Yes
"
7870,MSL3,1,1,402,0.2%,"No
"
7871,SLC44A5,3,3,402,0.7%,"No
"
7872,PRSS21,2,2,402,0.5%,"No
"
7873,AP3M2,1,1,402,0.2%,"No
"
7874,CPXM1,3,3,402,0.7%,"No
"
7875,SF3A3,2,1,402,0.2%,"No
"
7876,KYAT3,1,1,402,0.2%,"No
"
7877,STARD3,1,1,402,0.2%,"No
"
7878,WDR48,1,1,402,0.2%,"No
"
7879,BRD3,1,1,402,0.2%,"Yes
"
7880,TAF3,1,1,402,0.2%,"No
"
7881,RAB9A,2,2,402,0.5%,"No
"
7882,RAB28,1,1,402,0.2%,"No
"
7883,KL,1,1,402,0.2%,"No
"
7884,NRXN3,1,1,402,0.2%,"No
"
7885,TRAFD1,2,2,402,0.5%,"No
"
7886,PNPLA6,1,1,402,0.2%,"No
"
7887,NCOA4,4,4,402,1.0%,"Yes
"
7888,PGAP3,2,2,402,0.5%,"No
"
7889,RAB33A,1,1,402,0.2%,"No
"
7890,WDR45B,1,1,402,0.2%,"No
"
7891,LONP1,2,2,402,0.5%,"No
"
7892,SUGT1,2,2,402,0.5%,"No
"
7893,CIB3,1,1,402,0.2%,"No
"
7894,PLA2G4D,4,4,402,1.0%,"No
"
7895,OR8G1,5,4,402,1.0%,"No
"
7896,OR8B8,3,3,402,0.7%,"No
"
7897,PAPOLA,2,2,402,0.5%,"No
"
7898,EDAR,1,1,402,0.2%,"No
"
7899,TTC29,1,1,402,0.2%,"No
"
7900,TAGAP,1,1,402,0.2%,"No
"
7901,MAGED2,2,2,402,0.5%,"No
"
7902,TCERG1,4,4,402,1.0%,"No
"
7903,SNX25,4,4,402,1.0%,"No
"
7904,OVCH2,1,1,402,0.2%,"No
"
7905,SPATA16,1,1,402,0.2%,"No
"
7906,KCTD10,2,2,402,0.5%,"No
"
7907,IP6K3,2,2,402,0.5%,"No
"
7908,NRXN1,7,7,402,1.7%,"No
"
7909,TM9SF2,1,1,402,0.2%,"No
"
7910,ARSG,2,2,402,0.5%,"No
"
7911,SLC22A8,4,4,402,1.0%,"No
"
7912,RUFY3,3,3,402,0.7%,"No
"
7913,SBNO2,1,1,402,0.2%,"No
"
7914,CSRP3,1,1,402,0.2%,"No
"
7915,NRXN2,4,4,402,1.0%,"No
"
7916,EPN2,3,3,402,0.7%,"No
"
7917,OR4C3,3,3,402,0.7%,"No
"
7918,BTNL3,4,4,402,1.0%,"No
"
7919,EHMT2,2,2,402,0.5%,"No
"
7920,PLAA,1,1,402,0.2%,"No
"
7921,KIF3B,3,3,402,0.7%,"No
"
7922,ZFYVE9,1,1,402,0.2%,"No
"
7923,SUB1,1,1,402,0.2%,"No
"
7924,FASTK,1,1,402,0.2%,"No
"
7925,WDR87,1,1,402,0.2%,"No
"
7926,PARD3,2,2,402,0.5%,"No
"
7927,KLHDC7B,1,1,402,0.2%,"No
"
7928,GRHPR,2,2,402,0.5%,"No
"
7929,OTOF,5,5,402,1.2%,"No
"
7930,CMYA5,2,2,402,0.5%,"No
"
7931,PPP1R14B,1,1,402,0.2%,"No
"
7932,OR10J1,1,1,402,0.2%,"No
"
7933,STOML1,1,1,402,0.2%,"No
"
7934,NMT2,5,5,402,1.2%,"No
"
7935,CD101,2,2,402,0.5%,"No
"
7936,LRRC15,2,2,402,0.5%,"No
"
7937,TGFBRAP1,1,1,402,0.2%,"No
"
7938,SLC22A13,1,1,402,0.2%,"No
"
7939,CUL5,2,2,402,0.5%,"No
"
7940,HS6ST1,1,1,402,0.2%,"No
"
7941,DIPK1C,1,1,402,0.2%,"No
"
7942,DHRS4,2,1,402,0.2%,"No
"
7943,RUNDC3A,2,2,402,0.5%,"No
"
7944,MTMR11,4,4,402,1.0%,"No
"
7945,BRD8,4,4,402,1.0%,"No
"
7946,KRT27,2,2,402,0.5%,"No
"
7947,MLF2,1,1,402,0.2%,"No
"
7948,USP5,2,2,402,0.5%,"No
"
7949,XRRA1,2,2,402,0.5%,"No
"
7950,MFAP5,1,1,402,0.2%,"No
"
7951,PTP4A2,1,1,402,0.2%,"No
"
7952,FGF23,1,1,402,0.2%,"Yes
"
7953,YEATS4,1,1,402,0.2%,"No
"
7954,NKAIN2,1,1,402,0.2%,"No
"
7955,KRTAP5-5,1,1,402,0.2%,"No
"
7956,PTPN18,3,3,402,0.7%,"No
"
7957,LHX6,1,1,402,0.2%,"No
"
7958,AAAS,2,2,402,0.5%,"No
"
7959,TRABD2A,1,1,402,0.2%,"No
"
7960,KMT2D,10,10,402,2.5%,"Yes
"
