,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
3304,APC2,6,6,566,1.1%,"No
"
3305,GRINA,1,1,566,0.2%,"No
"
3306,MAEA,4,4,566,0.7%,"No
"
3307,GRIN2D,11,11,566,1.9%,"No
"
3308,MARCHF6,14,13,566,2.3%,"No
"
3309,GRIN2C,8,8,566,1.4%,"No
"
3310,PAK4,7,7,566,1.2%,"No
"
3311,GRIN2B,57,54,566,9.5%,"No
"
3312,GRIN2A,59,53,566,9.4%,"Yes
"
3313,GRIN1,11,11,566,1.9%,"No
"
3314,CMTM5,12,12,566,2.1%,"No
"
3315,GRIK5,18,17,566,3.0%,"No
"
3316,APOBEC3A,3,3,566,0.5%,"No
"
3317,RNF215,1,1,566,0.2%,"No
"
3318,GRM1,44,40,566,7.1%,"No
"
3319,CXCL1,1,1,566,0.2%,"No
"
3320,GRM8,59,52,566,9.2%,"No
"
3321,GRM7,47,41,566,7.2%,"No
"
3322,GRM6,22,22,566,3.9%,"No
"
3323,GRM5,42,42,566,7.4%,"No
"
3324,GRM4,21,16,566,2.8%,"No
"
3325,GRM3,18,17,566,3.0%,"Yes
"
3326,GRM2,11,10,566,1.8%,"No
"
3327,AKAP8,6,5,566,0.9%,"No
"
3328,EVPLL,2,2,566,0.4%,"No
"
3329,STUB1,1,1,566,0.2%,"No
"
3330,VSIG2,5,5,566,0.9%,"No
"
3331,RIGI,5,5,566,0.9%,"No
"
3332,ELP5,5,5,566,0.9%,"No
"
3333,KLHDC2,4,3,566,0.5%,"No
"
3334,GRP,2,2,566,0.4%,"No
"
3335,CXCL2,1,1,566,0.2%,"No
"
3336,PHACTR3,18,16,566,2.8%,"No
"
3337,CDC42EP4,2,2,566,0.4%,"No
"
3338,CASP14,5,5,566,0.9%,"No
"
3339,CCNDBP1,4,4,566,0.7%,"No
"
3340,CYYR1,13,13,566,2.3%,"No
"
3341,SMUG1,1,1,566,0.2%,"No
"
3342,STAG1,13,12,566,2.1%,"Yes
"
3343,UBE4B,19,18,566,3.2%,"No
"
3344,NET1,7,6,566,1.1%,"No
"
3345,GRSF1,9,8,566,1.4%,"No
"
3346,PRSS16,6,6,566,1.1%,"No
"
3347,GRPR,9,9,566,1.6%,"No
"
3348,EFS,10,10,566,1.8%,"No
"
3349,PDIA3,6,5,566,0.9%,"No
"
3350,SIGMAR1,2,2,566,0.4%,"No
"
3351,BET1,2,2,566,0.4%,"No
"
3352,DSCR4,3,3,566,0.5%,"No
"
3353,SAP18,1,1,566,0.2%,"No
"
3354,GAGE2B,3,3,566,0.5%,"No
"
3355,CWC27,8,8,566,1.4%,"No
"
3356,ORC3,5,5,566,0.9%,"No
"
3357,OPN3,7,7,566,1.2%,"No
"
3358,KLHDC3,4,4,566,0.7%,"No
"
3359,ACOT9,4,3,566,0.5%,"No
"
3360,PATZ1,6,6,566,1.1%,"Yes
"
3361,DACH1,27,24,566,4.2%,"No
"
3362,DAB2,20,17,566,3.0%,"No
"
3363,GSK3B,4,4,566,0.7%,"Yes
"
3364,DAB1,30,28,566,4.9%,"No
"
3365,GSK3A,1,1,566,0.2%,"No
"
3366,PDSS1,1,1,566,0.2%,"No
"
3367,DNAAF10,3,3,566,0.5%,"No
"
3368,LEMD3,6,6,566,1.1%,"No
"
3369,HEBP2,1,1,566,0.2%,"No
"
3370,ORC6,3,3,566,0.5%,"No
"
3371,BCAS2,2,2,566,0.4%,"No
"
3372,DGKQ,2,2,566,0.4%,"No
"
3373,SMNDC1,2,2,566,0.4%,"No
"
3374,DGKG,16,15,566,2.7%,"No
"
3375,GSTA2,7,6,566,1.1%,"No
"
3376,LILRB2,31,31,566,5.5%,"No
"
3377,CCDC180,15,15,566,2.7%,"No
"
3378,DGKB,44,41,566,7.2%,"No
"
