,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
1024,SLC25A26,5,5,440,1.1%,"No
"
1025,MAPK8IP3,31,28,440,6.4%,"No
"
1026,SLC45A3,9,8,440,1.8%,"Yes
"
1027,GGA3,5,3,440,0.7%,"No
"
1028,RHPN2,22,20,440,4.5%,"No
"
1029,MPRIP,27,23,440,5.2%,"No
"
1030,NUP205,30,27,440,6.1%,"No
"
1031,SLC22A16,30,29,440,6.6%,"No
"
1032,NISCH,30,26,440,5.9%,"No
"
1033,PKP3,19,18,440,4.1%,"No
"
1034,CELF3,13,12,440,2.7%,"No
"
1035,NAT2,16,16,440,3.6%,"No
"
1036,SERPINA3,34,30,440,6.8%,"No
"
1037,CEP250,45,40,440,9.1%,"No
"
1038,ZBTB34,17,17,440,3.9%,"No
"
1039,GTF2H5,3,3,440,0.7%,"No
"
1040,AADAC,22,21,440,4.8%,"No
"
1041,WBP4,9,9,440,2.0%,"No
"
1042,AAMP,10,9,440,2.0%,"No
"
1043,AANAT,3,3,440,0.7%,"No
"
1044,AARS1,14,14,440,3.2%,"No
"
1045,ABCB8,20,19,440,4.3%,"No
"
1046,WIF1,16,16,440,3.6%,"Yes
"
1047,ABAT,22,19,440,4.3%,"No
"
1048,SEC23IP,14,13,440,3.0%,"No
"
1049,ABCA1,46,42,440,9.5%,"No
"
1050,CEP68,9,9,440,2.0%,"No
"
1051,PASK,41,35,440,8.0%,"Yes
"
1052,RGL1,28,25,440,5.7%,"No
"
1053,LRRIQ3,62,52,440,11.8%,"No
"
1054,ERICH3,182,118,440,26.8%,"No
"
1055,TYW3,1,1,440,0.2%,"No
"
1056,NKD1,14,11,440,2.5%,"No
"
1057,TTLL12,9,9,440,2.0%,"No
"
1058,RAB42,2,2,440,0.5%,"No
"
1059,GPD1L,5,5,440,1.1%,"No
"
1060,ABRAXAS2,10,10,440,2.3%,"No
"
1061,DNAJC14,12,11,440,2.5%,"No
"
1062,METAP1,1,1,440,0.2%,"No
"
1063,EAF1,3,3,440,0.7%,"No
"
1064,ZCCHC14,25,21,440,4.8%,"No
"
1065,LPIN1,33,27,440,6.1%,"No
"
1066,SEPTIN8,8,8,440,1.8%,"No
"
1067,ANXA10,24,19,440,4.3%,"No
"
1068,SUPT16H,26,25,440,5.7%,"No
"
1069,ABCA2,36,31,440,7.0%,"No
"
1070,ABCA3,44,35,440,8.0%,"No
"
1071,ABCB7,18,15,440,3.4%,"No
"
1072,IRX2-DT,4,3,440,0.7%,"No
"
1073,ABCF1,12,11,440,2.5%,"No
"
