,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
3015,ARHGEF18,1,1,494,0.2%,"No
"
3016,TNS2,3,1,494,0.2%,"No
"
3017,FOXJ2,2,2,494,0.4%,"No
"
3018,CRTC1,3,3,494,0.6%,"Yes
"
3019,BDP1,3,3,494,0.6%,"No
"
3020,SPATA7,1,1,494,0.2%,"No
"
3021,KDM3A,3,2,494,0.4%,"No
"
3022,ACSM3,1,1,494,0.2%,"No
"
3023,SAG,2,2,494,0.4%,"No
"
3024,PLAC8L1,1,1,494,0.2%,"No
"
3025,SALL2,2,1,494,0.2%,"No
"
3026,SALL1,11,10,494,2.0%,"No
"
3027,MCM9,1,1,494,0.2%,"No
"
3028,ESYT1,3,3,494,0.6%,"No
"
3029,SYNE1,34,23,494,4.7%,"No
"
3030,SMCHD1,4,4,494,0.8%,"No
"
3031,SAFB,2,2,494,0.4%,"No
"
3032,DOCK9,4,2,494,0.4%,"No
"
3033,VPS52,4,3,494,0.6%,"No
"
3034,PHF24,2,2,494,0.4%,"No
"
3035,ALLC,2,2,494,0.4%,"No
"
3036,MUC17,17,15,494,3.0%,"No
"
3037,DNAJC16,1,1,494,0.2%,"No
"
3038,PECR,1,1,494,0.2%,"No
"
3039,PAG1,2,2,494,0.4%,"Yes
"
3040,VPS11,2,2,494,0.4%,"No
"
3041,ASB5,1,1,494,0.2%,"No
"
3042,ASB6,2,2,494,0.4%,"No
"
3043,CHAF1A,5,5,494,1.0%,"No
"
3044,TOM1L1,1,1,494,0.2%,"No
"
3045,HMGXB4,2,2,494,0.4%,"No
"
3046,SUN1,1,1,494,0.2%,"No
"
3047,VPS8,1,1,494,0.2%,"No
"
3048,ANGEL1,2,1,494,0.2%,"No
"
3049,USP24,6,5,494,1.0%,"No
"
3050,PIKFYVE,5,5,494,1.0%,"No
"
3051,ASB9,1,1,494,0.2%,"No
"
3052,U2SURP,1,1,494,0.2%,"No
"
3053,EMC3,1,1,494,0.2%,"No
"
3054,KHNYN,1,1,494,0.2%,"No
"
3055,MYL6B,2,2,494,0.4%,"No
"
3056,UBR4,6,6,494,1.2%,"No
"
3057,SH2D3C,2,2,494,0.4%,"No
"
3058,DHX29,3,3,494,0.6%,"No
"
3059,CENPJ,3,3,494,0.6%,"No
"
3060,MAMLD1,3,3,494,0.6%,"No
"
3061,ZSWIM2,1,1,494,0.2%,"No
"
3062,UBAP2,2,2,494,0.4%,"No
"
3063,HOOK3,2,2,494,0.4%,"Yes
"
3064,RANBP9,2,2,494,0.4%,"No
"
3065,ADAMTSL4,1,1,494,0.2%,"No
"
3066,FRMD7,2,2,494,0.4%,"No
"
